"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.115014063E0,1.466076542E-2,-2.443460980E-3,-1.099557430E-2
5.140010938E0,-3.176499158E-2,-1.221730467E-2,4.886921961E-3
5.165006250E0,-5.742133036E-2,-5.009094998E-2,6.108652335E-3
5.190004688E0,-5.131268129E-2,-7.941248268E-2,-8.552113548E-3
5.215000000E0,-3.543018550E-2,-8.674286306E-2,-1.954768784E-2
5.239996875E0,-1.466076542E-2,-5.375614017E-2,-2.443460934E-2
5.260020313E0,6.108652335E-3,-8.552113548E-3,-1.832595654E-2
5.285015625E0,3.909537569E-2,4.764748737E-2,2.443460980E-3
5.310010938E0,6.719517708E-2,9.040805697E-2,2.076941729E-2
5.335007813E0,6.108652428E-2,1.356120855E-1,2.443460934E-2
5.360004688E0,4.764748737E-2,1.514945775E-1,2.443460934E-2
5.385001563E0,2.443460934E-2,1.380555481E-1,1.710422710E-2
5.409998438E0,-1.221730490E-3,1.014036313E-1,8.552113548E-3
5.434993750E0,-2.076941729E-2,2.687807009E-2,-2.443460980E-3
5.455015625E0,-2.565634064E-2,-1.832595654E-2,-1.343903504E-2
5.480012500E0,-8.552113548E-3,-9.773843922E-3,-1.221730467E-2
5.505009375E0,3.665191354E-3,2.199114859E-2,-1.221730490E-3
5.530035938E0,-1.099557430E-2,6.108652335E-3,2.443460980E-3
5.555001563E0,-1.832595654E-2,-3.176499158E-2,6.108652335E-3
5.580039063E0,-3.298672289E-2,-5.253440887E-2,1.343903504E-2
5.604995313E0,-4.153883457E-2,-5.253440887E-2,6.108652335E-3
5.625017188E0,-3.787364438E-2,-5.009094998E-2,0.000000000E0
5.650029688E0,-3.420845419E-2,-6.108652428E-2,-2.443460980E-3
5.675010938E0,-1.710422710E-2,-6.841690838E-2,-1.221730490E-3
5.700007813E0,0.000000000E0,-7.208209485E-2,4.886921961E-3
5.725003125E0,-6.108652335E-3,-6.841690838E-2,9.773843922E-3
5.750000000E0,-9.773843922E-3,-5.864306167E-2,0.000000000E0
5.774995313E0,-1.099557430E-2,-4.764748737E-2,-1.221730490E-3
5.795018750E0,-1.343903504E-2,-5.742133036E-2,1.221730490E-3
5.820015625E0,-1.466076542E-2,-6.597344577E-2,-1.221730490E-3
5.845010938E0,-1.343903504E-2,-5.742133036E-2,-1.221730490E-3
5.870007813E0,-8.552113548E-3,-2.932153083E-2,1.221730490E-3
5.895004688E0,-9.773843922E-3,-1.588249579E-2,2.443460980E-3
5.920001563E0,-6.108652335E-3,-1.221730490E-3,3.665191354E-3
5.944996875E0,-1.221730490E-3,1.832595654E-2,1.099557430E-2
5.969993750E0,2.443460980E-3,2.932153083E-2,1.221730467E-2
5.990017188E0,-1.221730490E-3,2.687807009E-2,4.886921961E-3
6.015012500E0,-1.588249579E-2,3.665191354E-3,0.000000000E0
6.040009375E0,-3.176499158E-2,-1.954768784E-2,-2.443460980E-3
6.065004688E0,-3.787364438E-2,-3.543018550E-2,0.000000000E0
6.090001563E0,-3.054326214E-2,-3.298672289E-2,2.443460980E-3
6.114998438E0,-1.343903504E-2,-9.773843922E-3,8.552113548E-3
6.139995313E0,-3.665191354E-3,1.221730490E-3,1.099557430E-2
6.160017188E0,0.000000000E0,-3.665191354E-3,9.773843922E-3
6.185014063E0,4.886921961E-3,-3.665191354E-3,7.330382708E-3
6.210010938E0,1.099557430E-2,7.330382708E-3,7.330382708E-3
6.235006250E0,1.343903504E-2,2.565634064E-2,0.000000000E0
6.260003125E0,7.330382708E-3,2.932153083E-2,-2.443460980E-3
6.284998438E0,-2.443460980E-3,1.832595654E-2,-2.443460980E-3
6.309996875E0,-9.773843922E-3,1.221730490E-3,2.443460980E-3
6.330018750E0,-1.466076542E-2,3.665191354E-3,4.886921961E-3
6.355014063E0,-1.221730467E-2,2.199114859E-2,7.330382708E-3
6.380025000E0,-1.221730490E-3,2.687807009E-2,9.773843922E-3
6.405007813E0,-6.108652335E-3,2.321287990E-2,3.665191354E-3
6.430004688E0,-2.199114859E-2,2.199114859E-2,-4.886921961E-3
6.454998438E0,-3.543018550E-2,3.054326214E-2,-2.443460980E-3
6.479996875E0,-3.543018550E-2,3.543018550E-2,-6.108652335E-3
6.504993750E0,-1.832595654E-2,3.298672289E-2,-4.886921961E-3
6.525015625E0,-1.099557430E-2,2.076941729E-2,-4.886921961E-3
6.550012500E0,-6.108652335E-3,-1.221730490E-3,-3.665191354E-3
6.575009375E0,-1.221730490E-3,-1.710422710E-2,-3.665191354E-3
6.600006250E0,0.000000000E0,-2.321287990E-2,-3.665191354E-3
6.625000000E0,-2.443460980E-3,-3.420845419E-2,-1.221730490E-3
6.649998438E0,3.665191354E-3,-3.420845419E-2,-2.443460980E-3
6.674993750E0,7.330382708E-3,-3.543018550E-2,3.665191354E-3
6.695017188E0,-1.221730490E-3,-3.909537569E-2,1.221730490E-3
6.720012500E0,-1.221730467E-2,-3.787364438E-2,-3.665191354E-3
6.745009375E0,-1.588249579E-2,-1.954768784E-2,-3.665191354E-3
6.770006250E0,-1.710422710E-2,-9.773843922E-3,-3.665191354E-3
6.795003125E0,-1.832595654E-2,-9.773843922E-3,3.665191354E-3
6.820000000E0,-1.954768784E-2,-6.108652335E-3,7.330382708E-3
6.844995313E0,-1.832595654E-2,8.552113548E-3,3.665191354E-3
6.865017188E0,-2.199114859E-2,9.773843922E-3,1.221730490E-3
6.890015625E0,-2.321287990E-2,4.886921961E-3,0.000000000E0
6.915010938E0,-2.199114859E-2,8.552113548E-3,-2.443460980E-3
6.940007813E0,-1.221730467E-2,0.000000000E0,-3.665191354E-3
6.965003125E0,3.665191354E-3,-9.773843922E-3,-1.221730467E-2
6.990001563E0,2.321287990E-2,7.330382708E-3,-2.199114859E-2
7.014996875E0,3.298672289E-2,4.398229718E-2,-2.199114859E-2
7.035018750E0,3.054326214E-2,7.574728876E-2,-9.773843922E-3
7.060015625E0,2.809980139E-2,9.162978828E-2,-2.443460980E-3
7.085010938E0,1.588249579E-2,8.796459436E-2,6.108652335E-3
7.110009375E0,-1.221730490E-3,6.841690838E-2,1.343903504E-2
7.135004688E0,-1.099557430E-2,2.076941729E-2,1.221730467E-2
7.160001563E0,-1.466076542E-2,-9.773843922E-3,6.108652335E-3
7.184996875E0,-2.443460934E-2,-3.665191308E-2,-1.221730490E-3
7.209995313E0,-2.443460934E-2,-4.642575979E-2,-4.886921961E-3
7.230017188E0,-1.588249579E-2,-3.543018550E-2,-3.665191354E-3
7.255012500E0,-1.710422710E-2,-3.543018550E-2,2.443460980E-3
7.280009375E0,-1.832595654E-2,-3.543018550E-2,4.886921961E-3
7.305006250E0,-7.330382708E-3,-2.565634064E-2,3.665191354E-3
7.330003125E0,0.000000000E0,-7.330382708E-3,2.443460980E-3
7.354998438E0,6.108652335E-3,4.886921961E-3,-2.443460980E-3
7.375010938E0,8.552113548E-3,1.099557430E-2,-4.886921961E-3
7.395012500E0,8.552113548E-3,1.832595654E-2,-3.665191354E-3
7.420009375E0,3.665191354E-3,2.687807009E-2,0.000000000E0
7.445004688E0,-1.221730490E-3,3.176499158E-2,3.665191354E-3
7.470001563E0,-2.443460980E-3,3.298672289E-2,0.000000000E0
7.494996875E0,-2.443460980E-3,3.176499158E-2,2.443460980E-3
7.519995313E0,-4.886921961E-3,2.321287990E-2,6.108652335E-3
7.540017188E0,-1.099557430E-2,1.466076542E-2,1.221730467E-2
7.565012500E0,-1.710422710E-2,-2.443460980E-3,1.466076542E-2
7.590010938E0,-2.687807009E-2,-1.954768784E-2,4.886921961E-3
7.615004688E0,-1.954768784E-2,-3.176499158E-2,-1.343903504E-2
7.640003125E0,-1.221730490E-3,-2.199114859E-2,-1.221730467E-2
7.664998438E0,1.588249579E-2,1.466076542E-2,-4.886921961E-3
7.689996875E0,2.199114859E-2,7.330382708E-3,3.665191354E-3
7.710018750E0,1.832595654E-2,-1.466076542E-2,9.773843922E-3
7.735014063E0,3.665191354E-3,-2.687807009E-2,9.773843922E-3
7.760010938E0,-4.886921961E-3,-6.108652335E-3,7.330382708E-3
7.785007813E0,-2.199114859E-2,4.886921961E-3,4.886921961E-3
7.810003125E0,-2.565634064E-2,0.000000000E0,-1.221730490E-3
7.830040625E0,-1.832595654E-2,-3.665191354E-3,-2.443460980E-3
7.854990625E0,-7.330382708E-3,-3.665191354E-3,-1.221730490E-3
7.875012500E0,-6.108652335E-3,9.773843922E-3,-2.443460980E-3
7.900009375E0,-1.221730490E-3,2.687807009E-2,0.000000000E0
7.925006250E0,8.552113548E-3,4.520402849E-2,4.886921961E-3
7.950003125E0,7.330382708E-3,3.298672289E-2,6.108652335E-3
7.974998438E0,4.886921961E-3,1.710422710E-2,1.221730490E-3
7.999995313E0,6.108652335E-3,8.552113548E-3,1.221730490E-3
8.020018750E0,3.665191354E-3,7.330382708E-3,0.000000000E0
8.045014063E0,-1.099557430E-2,-1.221730490E-3,1.221730490E-3
8.070010938E0,-8.552113548E-3,-9.773843922E-3,-1.221730490E-3
8.095007813E0,-8.552113548E-3,-8.552113548E-3,3.665191354E-3
8.120004688E0,-8.552113548E-3,-8.552113548E-3,4.886921961E-3
8.145000000E0,-6.108652335E-3,-3.665191354E-3,4.886921961E-3
8.169996875E0,-6.108652335E-3,-2.443460980E-3,6.108652335E-3
8.190018750E0,-8.552113548E-3,-6.108652335E-3,2.443460980E-3
8.215015625E0,-8.552113548E-3,-3.665191354E-3,-1.221730490E-3
8.240012500E0,-8.552113548E-3,-6.108652335E-3,0.000000000E0
8.265007813E0,-4.886921961E-3,6.108652335E-3,2.443460980E-3
8.290004688E0,-1.221730490E-3,1.099557430E-2,4.886921961E-3
8.315001563E0,-6.108652335E-3,-9.773843922E-3,6.108652335E-3
8.339998438E0,-7.330382708E-3,-1.954768784E-2,1.221730490E-3
8.364995313E0,-6.108652335E-3,-4.886921961E-3,0.000000000E0
8.385017188E0,-8.552113548E-3,-4.886921961E-3,-1.221730490E-3
8.410014063E0,-7.330382708E-3,-1.221730467E-2,-3.665191354E-3
8.435009375E0,-2.443460980E-3,-1.832595654E-2,-1.221730490E-3
8.460006250E0,-8.552113548E-3,-1.710422710E-2,3.665191354E-3
8.485001563E0,-9.773843922E-3,-1.099557430E-2,3.665191354E-3
8.509998438E0,-1.221730467E-2,-2.443460980E-3,4.886921961E-3
8.534995313E0,-8.552113548E-3,2.443460980E-3,0.000000000E0
