"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.722999922E2,1.072602391E0,4.290409565E0,7.565677166E-1
1.723249891E2,1.082179189E0,5.075707436E0,2.585737705E-1
1.723499859E2,9.864110947E-1,7.881711960E0,2.873042040E-2
1.723749828E2,4.022258818E-1,1.232535076E1,-1.819593310E0
1.723999781E2,5.746084079E-2,1.161666679E1,1.101332784E0
1.724200016E2,2.489969730E-1,7.728483200E0,4.692635536E0
1.724449969E2,9.481038451E-1,7.651868820E0,3.993528366E0
1.724699938E2,9.481038451E-1,9.050082207E0,-3.543418646E-1
1.724949906E2,-9.959878922E-1,1.080263805E1,2.106897533E-1
1.725150062E2,1.177947283E0,1.127190113E1,1.790862918E0
1.725399781E2,4.960785866E0,1.173158836E1,9.576807022E-1
1.725600000E2,2.863465309E0,1.316810894E1,6.129156351E-1
1.725849969E2,2.298433632E-1,1.358948898E1,1.580173135E0
1.726099938E2,1.091755986E0,1.390552330E1,-5.746083856E-1
1.726349953E2,3.246537447E0,1.183693314E1,-2.863465309E0
1.726599844E2,3.055001259E0,1.173158836E1,-1.944091797E0
1.726849828E2,-2.681505978E-1,1.513135433E1,-1.819593310E-1
1.727099781E2,-3.677493811E0,1.518881512E1,7.278373241E-1
1.727300016E2,-3.198653460E0,1.304361057E1,3.122039080E0
1.727550266E2,-1.733402014E0,1.100375080E1,2.719813108E0
1.727799938E2,1.015141487E0,8.140285492E0,1.877054095E0
1.728049906E2,2.489969730E0,6.100425720E0,1.302445769E0
1.728299859E2,2.011129379E0,6.598419666E0,6.033388376E-1
1.728549828E2,6.129156351E-1,7.173028469E0,-6.033388376E-1
1.728749969E2,3.830722719E-2,5.908889771E0,-2.968810201E-1
1.728950016E2,-1.091755986E0,4.558559895E0,1.015141487E0
1.729199938E2,-2.375048161E0,3.533841610E0,2.825158119E0
1.729449891E2,-2.317587137E0,3.667917013E0,3.294421434E0
1.729699859E2,-1.810016513E0,4.165910721E0,3.007117271E0
1.729950109E2,-1.982398987E0,3.064578056E0,3.438073635E0
1.730199797E2,-3.045424461E0,2.901772499E0,5.564124584E0
1.730400016E2,-1.043871999E0,6.895300865E0,8.839392662E0
1.730649984E2,6.512228489E0,3.503195953E1,1.092713642E1
1.730899938E2,-5.851428986E0,2.359725189E1,-2.480392933E0
1.731150188E2,-8.781931877E0,3.830722809E0,9.327810287E0
1.731399875E2,-5.133168221E0,5.324704647E0,1.195185471E1
1.731649844E2,3.945644379E0,1.880884933E1,-6.129156351E-1
1.731899797E2,9.710882187E0,1.383848572E1,-6.809109688E0
1.732100016E2,1.331176162E0,4.884171486E0,-4.893748283E0
1.732350203E2,-6.186617374E0,-1.187524080E0,1.369483352E0
1.732599953E2,-4.089296341E0,4.434061527E0,5.985504150E0
1.732849922E2,-6.799532771E-1,1.328303146E1,-1.647210717E0
1.733099891E2,1.570596337E0,1.703713989E1,-7.374141216E-1
1.733349844E2,2.135627985E0,1.009395409E1,2.518700123E0
1.733599797E2,1.331176162E0,6.521805286E0,2.020706177E0
1.733849781E2,1.197100878E0,5.458779812E0,1.101332784E0
1.734050000E2,6.129156351E-1,5.870582581E0,7.948749661E-1
1.734300203E2,-8.619125932E-2,8.111555099E0,-5.554547906E-1
1.734549922E2,-2.202665508E-1,1.037168217E1,-7.852981687E-1
1.734799891E2,7.182605267E-1,1.020887566E1,4.213795066E-1
1.735049859E2,-8.619125932E-2,9.232041359E0,2.308010340E0
1.735299828E2,-4.022258818E-1,8.485051155E0,3.495534420E0
1.735549828E2,1.063025594E0,8.408436775E0,1.522712231E0
1.735750016E2,1.628057122E0,8.494627953E0,-3.160346150E-1
1.735999969E2,1.101332784E0,1.241154194E1,1.589749932E0
1.736249938E2,3.505111217E0,1.157835960E1,2.518700123E0
1.736499906E2,3.284844637E0,1.260307789E1,1.733402014E0
1.736749875E2,1.321599364E0,1.425028896E1,1.522712231E0
1.736999828E2,1.742978811E0,1.497812557E1,-6.416460276E-1
1.737249797E2,1.513135433E0,1.254561710E1,-2.767697096E0
1.737450078E2,1.197100878E0,1.030464458E1,-1.695094824E0
1.737699984E2,-3.639186621E-1,1.162624359E1,2.154781580E0
1.737949953E2,-5.363011956E-1,1.507389355E1,3.179499865E0
1.738199922E2,-2.298433542E0,1.393425369E1,1.877054095E0
1.738449891E2,-1.417367458E0,1.100375080E1,2.585737944E0
1.738699844E2,1.570596337E0,8.599972725E0,1.149216771E0
1.738949812E2,2.806004286E0,6.684611320E0,1.034295082E0
1.739199766E2,1.043871999E0,7.010222435E0,4.501099288E-1
1.739400000E2,1.436520964E-1,7.201758862E0,-4.692635238E-1
1.739649969E2,-3.926490843E-1,6.090848923E0,2.394201756E-1
1.739899922E2,-1.331176162E0,4.778826714E0,2.193088770E0
1.740149891E2,-2.001552582E0,4.405331135E0,3.160346270E0
1.740399859E2,-1.857900500E0,4.616020679E0,2.576161146E0
1.740649813E2,-1.417367458E0,3.955221176E0,3.045424461E0
1.740899781E2,-1.848323703E0,3.591302633E0,4.817133904E0
1.741100000E2,-2.566584110E0,4.817133904E0,6.607996464E0
1.741349984E2,-4.884171486E-1,1.012268448E1,1.096544361E1
1.741599938E2,2.039859772E0,2.356852150E1,6.157886982E0
1.741849906E2,-3.112462282E0,1.701798630E1,1.359906554E0
1.742099859E2,-4.826710701E0,7.527369976E0,7.623138428E0
1.742349828E2,-4.003105164E0,1.486320400E1,1.048660374E1
1.742599797E2,3.323152065E0,1.793735886E1,9.576806426E-2
1.742800016E2,3.993528366E0,8.101978302E0,-5.468356609E0
1.743049984E2,-2.901772499E0,-1.628057212E-1,-4.606443882E0
1.743299953E2,-2.030282974E0,2.221819162E0,3.725377798E0
1.743549922E2,1.321599364E0,9.404424667E0,3.849876404E0
1.743799875E2,-1.350329757E0,1.681687355E1,-2.748543501E0
1.744049844E2,-1.714248419E0,1.403959846E1,1.139639974E0
1.744299859E2,1.110909581E0,7.259219646E0,1.532289028E0
1.744549781E2,1.120486379E0,5.171475887E0,1.340752959E0
1.744750000E2,1.292868972E0,4.213795185E0,1.283292055E0
1.744999953E2,9.289502501E-1,6.387730122E0,4.022258818E-1
1.745249922E2,1.053448796E0,9.050082207E0,4.788403511E-1
1.745499891E2,1.436521053E0,1.163582039E1,2.777273953E-1
1.745749859E2,1.110909581E0,9.825803757E0,1.369483352E0
1.745999812E2,9.481038451E-1,7.278373241E0,3.323152065E0
