"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.419995312E0,2.281250000E1,-3.981250000E1,6.062500000E0
4.449998437E0,2.375000000E1,-3.931250000E1,2.875000000E0
4.480000000E0,2.468750000E1,-3.956250000E1,-2.500000000E-1
4.509971875E0,2.500000000E1,-4.018750000E1,-2.812500000E0
4.529992187E0,2.543750000E1,-3.993750000E1,-4.000000000E0
4.559995312E0,2.612500000E1,-3.837500000E1,-5.375000000E0
4.589998437E0,2.731250000E1,-3.818750000E1,-5.937500000E0
4.619998437E0,2.812500000E1,-3.818750000E1,-5.562500000E0
4.650001562E0,2.781250000E1,-3.775000000E1,-6.750000000E0
4.679971875E0,2.700000000E1,-3.843750000E1,-6.000000000E0
4.699993750E0,2.693750000E1,-3.912500000E1,-4.375000000E0
4.729996875E0,2.650000000E1,-3.962500000E1,-3.812500000E0
4.759998437E0,2.512500000E1,-4.000000000E1,-2.187500000E0
4.790001562E0,2.406250000E1,-4.043750000E1,-5.000000000E-1
4.819971875E0,2.437500000E1,-4.006250000E1,-1.750000000E0
4.839993750E0,2.475000000E1,-3.993750000E1,-2.750000000E0
4.869995312E0,2.500000000E1,-3.987500000E1,-2.875000000E0
4.899996875E0,2.518750000E1,-3.943750000E1,-4.125000000E0
4.929998437E0,2.575000000E1,-3.918750000E1,-4.125000000E0
4.960001562E0,2.581250000E1,-3.937500000E1,-2.687500000E0
4.989973437E0,2.650000000E1,-3.950000000E1,-1.250000000E0
5.009995312E0,2.593750000E1,-3.956250000E1,2.500000000E-1
5.039996875E0,2.481250000E1,-4.000000000E1,2.062500000E0
5.069998437E0,2.462500000E1,-4.000000000E1,3.750000000E0
5.100001562E0,2.350000000E1,-4.093750000E1,5.250000000E0
5.129971875E0,2.300000000E1,-4.018750000E1,6.937500000E0
5.149993750E0,2.356250000E1,-3.943750000E1,8.250000000E0
5.179995312E0,2.393750000E1,-3.987500000E1,1.012500000E1
5.209996875E0,2.356250000E1,-3.968750000E1,1.106250000E1
5.240000000E0,2.356250000E1,-3.912500000E1,1.268750000E1
5.270001562E0,2.318750000E1,-3.856250000E1,1.493750000E1
5.299973437E0,2.450000000E1,-3.793750000E1,1.568750000E1
5.319995312E0,2.506250000E1,-3.812500000E1,1.600000000E1
5.349996875E0,2.556250000E1,-3.700000000E1,1.650000000E1
5.379998437E0,2.531250000E1,-3.718750000E1,1.575000000E1
5.410001562E0,2.450000000E1,-3.868750000E1,1.431250000E1
5.439971875E0,2.381250000E1,-3.925000000E1,1.243750000E1
5.459993750E0,2.275000000E1,-3.962500000E1,1.050000000E1
5.489996875E0,2.125000000E1,-4.056250000E1,7.937500000E0
5.519998437E0,2.193750000E1,-4.056250000E1,4.625000000E0
5.550000000E0,2.350000000E1,-4.056250000E1,1.250000000E0
5.580001562E0,2.412500000E1,-4.000000000E1,-1.062500000E0
5.609971875E0,2.537500000E1,-3.950000000E1,-3.250000000E0
5.629995312E0,2.575000000E1,-3.925000000E1,-4.312500000E0
5.659996875E0,2.612500000E1,-3.925000000E1,-5.187500000E0
5.689998437E0,2.681250000E1,-3.756250000E1,-5.687500000E0
5.720000000E0,2.675000000E1,-3.781250000E1,-5.562500000E0
5.749971875E0,2.675000000E1,-3.900000000E1,-4.375000000E0
5.769993750E0,2.606250000E1,-3.900000000E1,-4.125000000E0
5.799996875E0,2.518750000E1,-3.937500000E1,-2.500000000E0
5.829996875E0,2.487500000E1,-3.987500000E1,-5.625000000E-1
5.860000000E0,2.437500000E1,-4.006250000E1,-1.687500000E0
5.890003125E0,2.493750000E1,-4.025000000E1,-1.687500000E0
5.919973437E0,2.525000000E1,-3.937500000E1,-2.375000000E0
5.939995312E0,2.525000000E1,-3.887500000E1,-3.375000000E0
5.969996875E0,2.600000000E1,-3.881250000E1,-4.125000000E0
6.000000000E0,2.700000000E1,-3.856250000E1,-4.937500000E0
6.030001562E0,2.762500000E1,-3.837500000E1,-3.750000000E0
6.059971875E0,2.725000000E1,-3.931250000E1,-2.375000000E0
6.079993750E0,2.687500000E1,-3.981250000E1,-2.187500000E0
6.109995312E0,2.543750000E1,-3.962500000E1,-1.750000000E0
6.139998437E0,2.525000000E1,-3.950000000E1,3.125000000E-1
6.170000000E0,2.518750000E1,-3.906250000E1,1.562500000E0
6.200001562E0,2.406250000E1,-4.018750000E1,3.562500000E0
6.229973437E0,2.387500000E1,-4.068750000E1,4.750000000E0
6.249993750E0,2.425000000E1,-4.050000000E1,5.000000000E0
6.279996875E0,2.362500000E1,-3.975000000E1,6.500000000E0
6.309998437E0,2.350000000E1,-4.006250000E1,7.437500000E0
6.340001562E0,2.387500000E1,-3.975000000E1,7.875000000E0
6.369971875E0,2.500000000E1,-3.931250000E1,9.375000000E0
6.389993750E0,2.568750000E1,-3.912500000E1,9.875000000E0
6.419995312E0,2.487500000E1,-3.875000000E1,1.018750000E1
6.449998437E0,2.406250000E1,-3.931250000E1,1.025000000E1
6.480000000E0,2.393750000E1,-3.981250000E1,8.500000000E0
6.509970312E0,2.406250000E1,-3.906250000E1,6.687500000E0
6.529993750E0,2.387500000E1,-3.887500000E1,5.187500000E0
6.559995312E0,2.331250000E1,-3.943750000E1,2.250000000E0
6.589996875E0,2.431250000E1,-3.937500000E1,6.250000000E-1
6.620000000E0,2.443750000E1,-3.975000000E1,-1.312500000E0
6.650000000E0,2.443750000E1,-3.950000000E1,-3.812500000E0
6.679973437E0,2.500000000E1,-3.931250000E1,-5.437500000E0
6.699995312E0,2.412500000E1,-3.943750000E1,-5.250000000E0
6.729995312E0,2.412500000E1,-3.925000000E1,-5.562500000E0
6.759998437E0,2.425000000E1,-3.950000000E1,-5.062500000E0
6.790001562E0,2.412500000E1,-3.962500000E1,-4.312500000E0
6.819970312E0,2.356250000E1,-4.012500000E1,-3.937500000E0
6.839993750E0,2.325000000E1,-4.031250000E1,-3.375000000E0
6.869995312E0,2.293750000E1,-4.068750000E1,-3.375000000E0
6.899996875E0,2.175000000E1,-4.056250000E1,-2.687500000E0
6.930000000E0,2.193750000E1,-4.075000000E1,-1.562500000E0
6.960001562E0,2.243750000E1,-4.037500000E1,-1.562500000E0
6.989971875E0,2.131250000E1,-4.025000000E1,-2.312500000E0
7.009995312E0,2.100000000E1,-4.068750000E1,-3.250000000E0
7.039995312E0,2.131250000E1,-4.062500000E1,-4.875000000E0
7.069998437E0,2.118750000E1,-4.118750000E1,-5.312500000E0
7.100000000E0,2.050000000E1,-4.106250000E1,-3.937500000E0
7.129971875E0,2.031250000E1,-4.050000000E1,-3.187500000E0
7.149992187E0,2.031250000E1,-4.043750000E1,-2.812500000E0
7.179995312E0,2.056250000E1,-4.062500000E1,-1.687500000E0
7.209996875E0,2.062500000E1,-4.062500000E1,0.000000000E0
7.239998437E0,1.962500000E1,-4.118750000E1,1.250000000E0
7.270001562E0,2.006250000E1,-4.206250000E1,2.250000000E0
7.299971875E0,2.025000000E1,-4.156250000E1,2.812500000E0
7.319995312E0,1.962500000E1,-4.118750000E1,3.625000000E0
7.349996875E0,1.900000000E1,-4.156250000E1,4.687500000E0
7.379998437E0,1.962500000E1,-4.118750000E1,4.562500000E0
7.410000000E0,2.043750000E1,-4.125000000E1,6.000000000E0
7.439971875E0,1.956250000E1,-4.156250000E1,6.375000000E0
7.459993750E0,1.931250000E1,-4.206250000E1,6.000000000E0
7.489995312E0,1.987500000E1,-4.237500000E1,5.500000000E0
7.519998437E0,1.900000000E1,-4.237500000E1,3.062500000E0
7.550000000E0,1.825000000E1,-4.225000000E1,1.000000000E0
7.580001562E0,1.718750000E1,-4.181250000E1,-1.250000000E-1
7.609971875E0,1.637500000E1,-4.162500000E1,-2.750000000E0
7.629993750E0,1.593750000E1,-4.181250000E1,-4.375000000E0
7.659996875E0,1.693750000E1,-4.212500000E1,-4.312500000E0
7.689998437E0,1.800000000E1,-4.075000000E1,-5.250000000E0
7.720000000E0,1.975000000E1,-4.037500000E1,-6.125000000E0
7.749971875E0,2.100000000E1,-4.075000000E1,-6.687500000E0
7.769992187E0,2.137500000E1,-4.043750000E1,-7.312500000E0
7.799996875E0,2.200000000E1,-4.000000000E1,-7.125000000E0
7.829998437E0,2.212500000E1,-3.975000000E1,-6.937500000E0
7.860000000E0,2.181250000E1,-3.962500000E1,-6.062500000E0
7.890001562E0,2.181250000E1,-4.000000000E1,-4.875000000E0
7.919971875E0,2.150000000E1,-4.062500000E1,-3.875000000E0
7.939995312E0,2.175000000E1,-4.081250000E1,-2.562500000E0
7.969996875E0,2.187500000E1,-4.050000000E1,-1.812500000E0
7.999998437E0,2.212500000E1,-4.087500000E1,-2.250000000E0
8.030001562E0,2.237500000E1,-4.056250000E1,-3.062500000E0
8.059970312E0,2.175000000E1,-4.037500000E1,-2.500000000E0
8.079993750E0,2.175000000E1,-4.018750000E1,-2.437500000E0
8.109996875E0,2.175000000E1,-4.043750000E1,-3.125000000E0
8.139996875E0,2.225000000E1,-4.018750000E1,-1.625000000E0
8.170000000E0,2.262500000E1,-4.000000000E1,-3.750000000E-1
8.200001562E0,2.331250000E1,-4.062500000E1,3.125000000E-1
8.229973437E0,2.281250000E1,-4.081250000E1,2.687500000E0
8.249995312E0,2.287500000E1,-4.081250000E1,3.562500000E0
8.279996875E0,2.237500000E1,-4.081250000E1,4.562500000E0
8.309998437E0,2.212500000E1,-4.075000000E1,6.937500000E0
8.340000000E0,2.225000000E1,-4.050000000E1,8.000000000E0
8.369970312E0,2.237500000E1,-3.968750000E1,9.687500000E0
8.389993750E0,2.193750000E1,-3.981250000E1,1.068750000E1
8.419996875E0,2.268750000E1,-3.900000000E1,1.243750000E1
8.449998437E0,2.393750000E1,-3.856250000E1,1.306250000E1
8.480000000E0,2.500000000E1,-3.737500000E1,1.362500000E1
8.510001562E0,2.543750000E1,-3.693750000E1,1.525000000E1
8.539973437E0,2.568750000E1,-3.675000000E1,1.606250000E1
8.559995312E0,2.543750000E1,-3.662500000E1,1.531250000E1
8.589996875E0,2.475000000E1,-3.725000000E1,1.493750000E1
8.619998437E0,2.318750000E1,-3.875000000E1,1.362500000E1
8.650001562E0,2.143750000E1,-3.987500000E1,1.093750000E1
8.679971875E0,2.012500000E1,-4.081250000E1,8.000000000E0
8.699993750E0,2.037500000E1,-4.125000000E1,6.875000000E0
8.729995312E0,2.187500000E1,-4.056250000E1,3.500000000E0
8.759998437E0,2.275000000E1,-4.081250000E1,6.875000000E-1
8.790000000E0,2.287500000E1,-4.068750000E1,-1.937500000E0
8.820003125E0,2.387500000E1,-3.993750000E1,-3.937500000E0
8.849971875E0,2.375000000E1,-4.012500000E1,-4.875000000E0
8.869993750E0,2.343750000E1,-4.012500000E1,-4.875000000E0
8.899996875E0,2.300000000E1,-3.987500000E1,-5.500000000E0
8.930000000E0,2.218750000E1,-3.943750000E1,-5.812500000E0
8.960001562E0,2.156250000E1,-4.025000000E1,-5.125000000E0
8.989971875E0,2.162500000E1,-4.037500000E1,-3.562500000E0
9.009993750E0,2.143750000E1,-4.068750000E1,-1.875000000E0
9.039996875E0,2.000000000E1,-4.150000000E1,-3.125000000E-1
9.069996875E0,2.031250000E1,-4.125000000E1,0.000000000E0
9.100000000E0,2.062500000E1,-4.125000000E1,0.000000000E0
9.130003125E0,2.118750000E1,-4.043750000E1,-9.375000000E-1
9.159973437E0,2.150000000E1,-4.131250000E1,-2.312500000E0
9.179995312E0,2.118750000E1,-4.175000000E1,-2.125000000E0
9.209996875E0,2.075000000E1,-4.106250000E1,-1.437500000E0
9.239998437E0,2.062500000E1,-4.093750000E1,6.250000000E-2
9.270001562E0,1.993750000E1,-4.112500000E1,2.875000000E0
9.299971875E0,1.987500000E1,-4.187500000E1,4.437500000E0
9.319993750E0,1.987500000E1,-4.175000000E1,5.500000000E0
9.349996875E0,1.906250000E1,-4.087500000E1,7.125000000E0
9.379998437E0,1.900000000E1,-4.056250000E1,8.562500000E0
9.410001562E0,1.900000000E1,-4.093750000E1,1.062500000E1
9.439970312E0,1.881250000E1,-4.031250000E1,1.112500000E1
9.459993750E0,1.956250000E1,-3.956250000E1,1.206250000E1
9.489995312E0,1.943750000E1,-3.900000000E1,1.543750000E1
9.519996875E0,1.968750000E1,-3.868750000E1,1.643750000E1
9.549998437E0,2.006250000E1,-3.762500000E1,1.700000000E1
9.580000000E0,2.175000000E1,-3.712500000E1,1.743750000E1
9.609971875E0,2.200000000E1,-3.731250000E1,1.712500000E1
9.629995312E0,2.206250000E1,-3.781250000E1,1.718750000E1
9.659995312E0,2.237500000E1,-3.775000000E1,1.675000000E1
9.689998437E0,2.081250000E1,-3.818750000E1,1.375000000E1
9.720000000E0,1.906250000E1,-3.993750000E1,1.112500000E1
9.749970312E0,1.850000000E1,-4.137500000E1,8.500000000E0
9.769993750E0,1.837500000E1,-4.168750000E1,6.937500000E0
9.799995312E0,1.925000000E1,-4.175000000E1,3.812500000E0
9.829996875E0,2.031250000E1,-4.200000000E1,-5.625000000E-1
9.860000000E0,2.150000000E1,-4.162500000E1,-4.375000000E0
9.890001562E0,2.212500000E1,-4.050000000E1,-5.062500000E0
9.919973437E0,2.231250000E1,-3.981250000E1,-5.875000000E0
9.939995312E0,2.287500000E1,-3.975000000E1,-6.375000000E0
9.969996875E0,2.362500000E1,-3.987500000E1,-6.500000000E0
9.999998437E0,2.293750000E1,-3.956250000E1,-7.250000000E0
1.003000000E1,2.287500000E1,-3.975000000E1,-6.187500000E0
1.005997188E1,2.231250000E1,-4.075000000E1,-4.062500000E0
1.007999375E1,2.162500000E1,-4.125000000E1,-3.375000000E0
1.010999531E1,2.106250000E1,-4.118750000E1,-1.375000000E0
1.013999688E1,2.087500000E1,-4.112500000E1,1.250000000E-1
1.016999844E1,2.125000000E1,-4.087500000E1,-4.375000000E-1
1.020000156E1,2.137500000E1,-4.025000000E1,-1.312500000E0
1.022997188E1,2.112500000E1,-4.081250000E1,-8.125000000E-1
1.024999531E1,2.150000000E1,-4.118750000E1,-8.125000000E-1
1.027999688E1,2.231250000E1,-4.081250000E1,2.500000000E-1
1.030999844E1,2.175000000E1,-4.075000000E1,1.000000000E0
1.034000156E1,2.056250000E1,-4.125000000E1,2.375000000E0
1.036997031E1,1.987500000E1,-4.100000000E1,5.125000000E0
1.038999375E1,2.000000000E1,-4.075000000E1,6.000000000E0
1.041999531E1,2.062500000E1,-4.068750000E1,6.812500000E0
1.044999844E1,2.081250000E1,-4.075000000E1,7.437500000E0
1.048000000E1,2.018750000E1,-4.100000000E1,8.125000000E0
1.051000156E1,2.025000000E1,-4.018750000E1,9.812500000E0
1.053997188E1,2.112500000E1,-4.006250000E1,1.237500000E1
1.055999375E1,2.162500000E1,-3.981250000E1,1.337500000E1
1.058999688E1,2.225000000E1,-3.893750000E1,1.537500000E1
1.061999844E1,2.231250000E1,-3.781250000E1,1.650000000E1
1.065000000E1,2.250000000E1,-3.731250000E1,1.668750000E1
1.067997031E1,2.462500000E1,-3.706250000E1,1.793750000E1
1.069999375E1,2.518750000E1,-3.675000000E1,1.768750000E1
1.072999531E1,2.493750000E1,-3.700000000E1,1.606250000E1
1.074999688E1,2.487500000E1,-3.768750000E1,1.512500000E1
1.077998906E1,2.343750000E1,-3.868750000E1,1.212500000E1
1.080999063E1,2.200000000E1,-4.012500000E1,8.875000000E0
1.083999219E1,2.200000000E1,-4.075000000E1,6.812500000E0
