"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.153150016E2,-1.992999911E0,-2.993199825E0,1.304299951E0
5.153449719E2,-4.255999923E-1,1.739499927E0,3.600099802E0
5.153649938E2,2.241999865E0,1.537419987E1,7.188399792E0
5.153949969E2,-6.465899944E0,7.677799702E0,-2.121700048E0
5.154249984E2,-5.213999748E0,-3.824199915E0,5.333499908E0
5.154550000E2,2.440999895E-1,7.317100048E0,1.085500002E0
5.154849719E2,8.198100090E0,3.681399822E0,-7.608399868E0
5.155049938E2,4.058799744E0,-3.186199903E0,-7.971199989E0
5.155349953E2,-3.289599895E0,-5.195199966E0,-2.208799839E0
5.155649969E2,-3.689999878E-2,-1.931599975E0,-3.840000033E-1
5.155950000E2,3.876000047E-1,4.440799713E0,-4.536900043E0
5.156250016E2,2.904500008E0,3.050799847E0,2.017000020E-1
5.156549734E2,1.332999945E0,-2.706899881E0,3.843999803E-1
5.156749938E2,8.320999742E-1,-4.927599907E0,5.069999695E-1
5.157049969E2,9.221999645E-1,-4.054100037E0,1.163999960E-1
5.157349984E2,4.074999988E-1,-7.532999516E-1,-4.101999998E-1
5.157650000E2,-3.951999843E-1,5.593999624E-1,-5.047000051E-1
5.157949719E2,5.403000116E-1,-6.852999926E-1,2.748499870E0
5.158149938E2,1.004899979E0,-9.147999883E-1,4.167099953E0
5.158449953E2,1.483999938E-1,-4.533999860E-1,1.182999983E-1
5.158749969E2,-1.540899992E0,2.809099913E0,1.531099916E0
5.159050000E2,1.845299959E0,1.391999960E0,1.570500016E0
5.159350016E2,1.227399945E0,3.608699799E0,9.129999876E-1
5.159649719E2,3.802999854E-1,4.833399773E0,3.212399960E0
5.159849938E2,1.459199905E0,4.575500011E0,-2.324000001E-1
5.160149969E2,2.798199892E0,2.006199837E0,-3.072700024E0
5.160449984E2,2.874300003E0,1.117699981E0,-1.903199911E0
5.160750000E2,-2.147300005E0,5.627299786E0,-1.038599968E0
5.161049719E2,-2.256199837E0,4.848899841E0,-5.864999890E-1
5.161249938E2,-2.264600039E0,3.637300014E0,4.804999828E-1
5.161549953E2,-6.119999886E-1,1.841999888E-1,-1.189199924E0
5.161849969E2,2.292599916E0,-3.179499865E0,-2.813499928E0
5.162150000E2,2.260599852E0,-3.084899902E0,-4.044199944E0
5.162450016E2,1.204399943E0,-2.878099918E0,-5.384099960E0
5.162749719E2,3.058999777E-1,-4.418200016E0,-3.482100010E0
5.162949953E2,-4.810999930E-1,-5.016499996E0,-1.634299994E0
5.163249969E2,-1.325299978E0,-5.128099918E0,-1.248899937E0
5.163549984E2,-5.479999781E-1,-4.699999809E0,-1.842899919E0
5.163850016E2,-1.600099921E0,-3.098399878E0,1.271600008E0
5.164149719E2,-2.969999984E-2,5.666599751E0,8.625800133E0
5.164349938E2,5.540999770E-1,1.088449955E1,8.750899315E0
5.164649969E2,-3.073499918E0,8.982899666E0,-2.379999906E-1
5.164949984E2,-4.882299900E0,-1.450899959E0,1.774599910E0
5.165250000E2,-8.399999700E-3,2.263700008E0,6.516799927E0
5.165550016E2,8.457200050E0,1.333039951E1,-7.222799778E0
5.165849734E2,2.217399836E0,-5.499300003E0,-8.208299637E0
5.166049953E2,-5.005700111E0,-1.133029938E1,-5.692199707E0
5.166349969E2,-3.425099850E0,-6.664099693E0,3.595700026E0
5.166650000E2,2.510599852E0,4.301000118E0,-4.368599892E0
5.166950016E2,9.319999814E-1,7.476299763E0,-3.701900005E0
5.167249719E2,1.768499970E0,-1.932599902E0,1.657999992E0
5.167449938E2,1.139899969E0,-4.619100094E0,9.132999778E-1
5.167749953E2,1.898099899E0,-5.244400024E0,-3.449999914E-2
5.168049984E2,1.539299965E0,-2.495800018E0,6.999999750E-4
5.168350000E2,1.656099916E0,2.190999985E0,5.575000048E-1
5.168650016E2,4.109999910E-2,8.073999882E-1,2.131799936E0
5.168949734E2,-2.751999795E-1,-1.979900002E0,5.421199799E0
5.169149953E2,1.182699919E0,-2.882299900E0,1.056900024E0
5.169449969E2,-1.839499950E0,2.390100002E0,-1.067999974E-1
5.169749984E2,1.431599975E0,2.232399940E0,2.903199911E0
5.170050016E2,2.944900036E0,3.246599913E0,1.273199916E0
5.170349719E2,5.622999668E-1,6.793699741E0,1.105700016E0
5.170549938E2,1.116299987E0,5.463399887E0,5.992000103E-1
5.170849969E2,3.195099831E0,2.924599886E0,-3.296799898E0
5.171149984E2,2.816099882E0,8.739999533E-1,-2.124099970E0
5.171450000E2,-2.294399977E0,3.186499834E0,-5.755000114E-1
5.171750016E2,-2.663699865E0,3.688099861E0,-5.613999963E-1
5.172049734E2,-3.077399969E0,2.554399967E0,-3.263999820E-1
5.172249953E2,-1.689000010E0,2.644000053E-1,-1.410799980E0
5.172549969E2,3.046499968E0,-3.373499870E0,-3.062500000E0
5.172849984E2,3.206399918E0,-3.670199871E0,-3.338899851E0
5.173150016E2,1.626500010E0,-3.402799845E0,-4.296700001E0
5.173449719E2,1.674999893E-1,-4.577300072E0,-2.842900038E0
5.173649938E2,-8.273999691E-1,-4.904599667E0,-1.416000009E0
5.173949969E2,-1.612999916E0,-5.065599918E0,-7.371999621E-1
5.174349797E2,-1.715999961E0,-4.501599789E0,1.886899948E0
5.174550000E2,-1.517599940E0,-3.617599964E0,3.047799826E0
5.174850016E2,9.741999507E-1,3.511299849E0,6.209699631E0
5.175149734E2,3.356199980E0,2.031320000E1,-7.446999550E-1
5.175349953E2,-1.048399925E0,7.193199635E0,-3.143299818E0
5.175649969E2,-5.913799763E0,-6.481899738E0,8.104199409E0
5.175949984E2,2.171999931E0,6.797399998E0,7.371699810E0
5.176250016E2,8.887199402E0,9.503199577E0,-1.634969902E1
5.176549719E2,-7.775799751E0,-9.127799988E0,-8.101699829E0
5.176749938E2,-9.041999817E0,-1.398329926E1,-1.560599923E0
5.177049969E2,-1.309299946E0,-1.268399954E0,5.228099823E0
5.177349984E2,6.375599861E0,8.267099380E0,-8.691699982E0
5.177650000E2,1.696799994E0,5.426099777E0,-2.583099842E0
5.177949703E2,3.719999790E-1,-3.279399872E0,1.143899918E0
5.178149938E2,6.832000017E-1,-5.457900047E0,1.008700013E0
5.178449953E2,7.328999639E-1,-5.657899857E0,9.483999610E-1
5.178749969E2,1.642899990E0,-8.359000087E-1,-6.067000031E-1
5.179050000E2,1.501099944E0,2.351099968E0,-9.113999605E-1
5.179350016E2,1.913999915E-1,-3.037199974E0,1.495000005E0
5.179649719E2,-4.996999800E-1,-9.815999866E-1,2.116199970E0
5.179849938E2,-6.575999856E-1,1.032599926E0,2.721999884E-1
5.180149969E2,-5.119999871E-2,2.784600019E0,2.129400015E0
