"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.000014063E0,-4.405331016E-1,-8.523358107E-1,9.777919769E0
3.025010938E0,-4.405331016E-1,-8.619126081E-1,9.777919769E0
3.050006250E0,-4.692635238E-1,-8.714894056E-1,9.806650162E0
3.075004688E0,-4.692635238E-1,-8.810662031E-1,9.797073364E0
3.100000000E0,-4.692635238E-1,-9.002198577E-1,9.806650162E0
3.124996875E0,-4.309563041E-1,-8.906430602E-1,9.797073364E0
3.149993750E0,-4.501099288E-1,-9.193734527E-1,9.768342972E0
3.170015625E0,-4.405331016E-1,-8.906430602E-1,9.797073364E0
3.195012500E0,-4.501099288E-1,-8.906430602E-1,9.777919769E0
3.220007813E0,-4.692635238E-1,-8.714894056E-1,9.758766174E0
3.245004688E0,-4.692635238E-1,-9.002198577E-1,9.797073364E0
3.270001563E0,-4.309563041E-1,-8.714894056E-1,9.787496567E0
3.294998438E0,-4.692635238E-1,-8.906430602E-1,9.777919769E0
3.319993750E0,-4.788403511E-1,-8.810662031E-1,9.825803757E0
3.344990625E0,-4.309563041E-1,-8.619126081E-1,9.787496567E0
3.365012500E0,-4.596867263E-1,-8.619126081E-1,9.749189377E0
3.390009375E0,-4.596867263E-1,-9.097966552E-1,9.758766174E0
3.415006250E0,-4.213795066E-1,-9.289502501E-1,9.825803757E0
3.440003125E0,-4.022258818E-1,-8.427590132E-1,9.816226959E0
3.464998438E0,-4.213795066E-1,-8.331822157E-1,9.825803757E0
3.489995313E0,-4.501099288E-1,-8.714894056E-1,9.806650162E0
3.514995313E0,-4.501099288E-1,-9.097966552E-1,9.777919769E0
3.535014063E0,-4.788403511E-1,-9.385270476E-1,9.787496567E0
3.555031250E0,-4.884171486E-1,-9.193734527E-1,9.797073364E0
3.580001563E0,-4.788403511E-1,-8.810662031E-1,9.777919769E0
3.604998438E0,-4.788403511E-1,-8.906430602E-1,9.787496567E0
3.629993750E0,-4.405331016E-1,-8.523358107E-1,9.777919769E0
3.654992188E0,-4.596867263E-1,-8.619126081E-1,9.758766174E0
3.675012500E0,-4.405331016E-1,-8.619126081E-1,9.777919769E0
3.700007813E0,-4.501099288E-1,-8.523358107E-1,9.777919769E0
3.725006250E0,-4.501099288E-1,-8.714894056E-1,9.806650162E0
3.750003125E0,-4.309563041E-1,-8.906430602E-1,9.816226959E0
3.775000000E0,-4.501099288E-1,-9.002198577E-1,9.777919769E0
3.799995313E0,-4.213795066E-1,-8.523358107E-1,9.749189377E0
3.824992188E0,-4.884171486E-1,-8.523358107E-1,9.739612579E0
3.845014063E0,-4.884171486E-1,-9.002198577E-1,9.768342972E0
3.870010938E0,-4.596867263E-1,-9.289502501E-1,9.835380554E0
3.895007813E0,-4.405331016E-1,-9.672574997E-1,9.806650162E0
3.920003125E0,-4.309563041E-1,-9.959878922E-1,9.806650162E0
3.945000000E0,-4.213795066E-1,-9.002198577E-1,9.768342972E0
3.969996875E0,-4.309563041E-1,-8.427590132E-1,9.797073364E0
3.994992188E0,-4.309563041E-1,-8.619126081E-1,9.816226959E0
4.015014063E0,-4.692635238E-1,-8.810662031E-1,9.806650162E0
4.040010938E0,-4.979939461E-1,-9.385270476E-1,9.777919769E0
4.065009375E0,-5.267243981E-1,-9.289502501E-1,9.777919769E0
4.090004688E0,-4.884171486E-1,-8.236053586E-1,9.806650162E0
4.115001563E0,-5.267243981E-1,-7.757213712E-1,9.797073364E0
4.139996875E0,-5.650315881E-1,-8.236053586E-1,9.758766174E0
4.164993750E0,-5.363011956E-1,-9.002198577E-1,9.768342972E0
4.189990625E0,-4.884171486E-1,-8.906430602E-1,9.787496567E0
4.210012500E0,-4.884171486E-1,-8.619126081E-1,9.749189377E0
4.235009375E0,-4.692635238E-1,-8.427590132E-1,9.758766174E0
4.260006250E0,-4.501099288E-1,-8.906430602E-1,9.758766174E0
4.285003125E0,-3.830722570E-1,-8.906430602E-1,9.787496567E0
4.309998438E0,-3.639186621E-1,-9.002198577E-1,9.768342972E0
4.334995313E0,-4.501099288E-1,-1.043871999E0,9.768342972E0
4.359992188E0,-4.884171486E-1,-1.024718285E0,9.777919769E0
4.380014063E0,-4.501099288E-1,-9.576807022E-1,9.835380554E0
4.405010938E0,-3.256114423E-1,-8.619126081E-1,9.825803757E0
4.430006250E0,-2.011129409E-1,-8.331822157E-1,9.768342972E0
4.455003125E0,-1.149216816E-1,-9.768342972E-1,9.787496567E0
4.479998438E0,-1.628057212E-1,-9.864110947E-1,9.864110947E0
4.504996875E0,-2.681505978E-1,-8.906430602E-1,9.921571732E0
4.529992188E0,-4.309563041E-1,-7.757213712E-1,9.825803757E0
4.550015625E0,-5.075707436E-1,-8.044517636E-1,9.701305389E0
4.575014063E0,-7.374141216E-1,-8.236053586E-1,9.595960617E0
4.600007813E0,-8.427590132E-1,-8.714894056E-1,9.605537415E0
4.625004688E0,-8.044517636E-1,-9.481038451E-1,9.835380554E0
