"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.830014063E0,7.141999602E-1,9.613999724E-1,1.629000008E-1
4.860014063E0,7.825999856E-1,8.557999730E-1,2.401999980E-1
4.889985938E0,7.780999541E-1,1.002499938E0,2.830999792E-1
4.910007813E0,7.157999873E-1,1.084599972E0,2.782999873E-1
4.940009375E0,6.683999896E-1,1.120100021E0,1.806999892E-1
4.970012500E0,6.941999793E-1,1.222700000E0,8.619999886E-2
5.000014063E0,5.910999775E-1,1.189899921E0,1.589999944E-1
5.029984375E0,6.308000088E-1,1.353299975E0,2.856999934E-1
5.050006250E0,6.834999919E-1,1.448599935E0,2.912999988E-1
5.080009375E0,7.364000082E-1,1.449999928E0,2.302999943E-1
5.110009375E0,8.564999700E-1,1.448300004E0,2.766000032E-1
5.140012500E0,8.789999485E-1,1.294700027E0,2.951999903E-1
5.170015625E0,9.563999772E-1,1.421499968E0,3.395999968E-1
5.199985938E0,9.576999545E-1,1.455399990E0,3.067999780E-1
5.220007813E0,9.457999468E-1,1.458599925E0,2.802000046E-1
5.250009375E0,9.853999615E-1,1.477899909E0,3.303000033E-1
5.280010938E0,9.662999511E-1,1.417099953E0,3.556999862E-1
5.310014063E0,1.055699944E0,1.536599994E0,3.489999771E-1
5.339985938E0,9.932000041E-1,1.506699920E0,3.200999796E-1
5.360007813E0,9.554999471E-1,1.480599999E0,2.818999887E-1
5.390009375E0,9.484999776E-1,1.515799999E0,2.800999880E-1
5.420010938E0,8.679999709E-1,1.402699947E0,2.624999881E-1
5.450012500E0,7.935000062E-1,1.508700013E0,3.667999804E-1
5.480015625E0,7.748000026E-1,1.535200000E0,3.294000030E-1
5.509985938E0,8.629999757E-1,1.585999966E0,3.470000029E-1
5.530007813E0,9.340999722E-1,1.533699989E0,3.366999924E-1
5.560009375E0,9.236999750E-1,1.441299915E0,2.509999871E-1
5.590012500E0,9.548999667E-1,1.469499946E0,2.570999861E-1
5.620014063E0,9.138000011E-1,1.425199986E0,3.179999888E-1
5.649984375E0,9.560999870E-1,1.507699966E0,3.427000046E-1
5.670007813E0,9.465999603E-1,1.521099925E0,3.313999772E-1
5.700009375E0,8.955999613E-1,1.463499904E0,2.935999930E-1
5.730010938E0,9.030999541E-1,1.472399950E0,3.064000010E-1
5.760014063E0,8.519999981E-1,1.416800022E0,2.691999972E-1
5.790015625E0,9.249999523E-1,1.458799958E0,3.192999959E-1
5.819985938E0,9.129999876E-1,1.383700013E0,3.115999997E-1
5.840007813E0,9.213999510E-1,1.394199967E0,3.093000054E-1
5.870010938E0,9.492999911E-1,1.437699914E0,2.915000021E-1
5.900012500E0,8.396999836E-1,1.370100021E0,2.737999856E-1
5.930014063E0,8.937999606E-1,1.415399909E0,2.570999861E-1
5.959984375E0,8.732999563E-1,1.348299980E0,2.888000011E-1
5.980007813E0,8.824999928E-1,1.349399924E0,3.062999845E-1
6.010009375E0,9.172999859E-1,1.347399950E0,3.059999943E-1
6.040010938E0,8.913999796E-1,1.243899941E0,2.692999840E-1
6.070012500E0,9.034999609E-1,1.334800005E0,2.967000008E-1
6.100015625E0,8.694999814E-1,1.285399914E0,2.691999972E-1
6.129985938E0,8.203999996E-1,1.241899967E0,2.559999824E-1
6.150007813E0,7.821999788E-1,1.198499918E0,2.236000001E-1
6.180010938E0,7.152999640E-1,1.071399927E0,2.312999964E-1
6.210012500E0,7.077999711E-1,1.012899995E0,2.301999927E-1
6.240014063E0,6.832999587E-1,9.750999808E-1,2.388999909E-1
6.269985938E0,6.470999718E-1,9.844999909E-1,2.090999931E-1
6.290007813E0,6.218999624E-1,9.262999892E-1,1.601999998E-1
6.320009375E0,5.837000012E-1,8.359000087E-1,1.036999971E-1
6.350010938E0,5.214999914E-1,7.820000052E-1,1.054999977E-1
6.380012500E0,4.693000019E-1,7.285000086E-1,1.793999970E-1
6.410015625E0,4.786999822E-1,6.980999708E-1,1.727000028E-1
6.439985938E0,4.763000011E-1,6.319999695E-1,1.114000008E-1
6.460007813E0,4.654999971E-1,6.054999828E-1,9.589999914E-2
6.490010938E0,3.976999819E-1,6.078999639E-1,1.099999994E-1
6.520012500E0,3.276000023E-1,5.766000152E-1,8.060000092E-2
6.550014063E0,2.944000065E-1,5.332999825E-1,1.056999937E-1
6.579985938E0,3.154999912E-1,4.887999892E-1,9.759999812E-2
6.600007813E0,3.113999963E-1,4.397999942E-1,9.399999678E-2
6.630009375E0,3.073999882E-1,3.922999799E-1,8.089999855E-2
6.660010938E0,2.919999957E-1,3.869999945E-1,8.449999988E-2
6.690014063E0,2.696999907E-1,3.801999986E-1,5.219999701E-2
6.720015625E0,2.366999984E-1,3.664999902E-1,7.609999925E-2
6.749985938E0,2.255999893E-1,3.224999905E-1,6.379999965E-2
6.770007813E0,2.268999964E-1,3.271999955E-1,8.109999448E-2
6.800010938E0,1.893000007E-1,3.084999919E-1,4.729999974E-2
6.830012500E0,1.712999940E-1,2.763999999E-1,5.519999936E-2
6.860015625E0,1.659999937E-1,2.624000013E-1,4.189999774E-2
6.889985938E0,1.587999910E-1,1.920999885E-1,2.649999969E-2
6.910007813E0,1.508999914E-1,1.941999942E-1,5.460000038E-2
6.940009375E0,1.467999965E-1,2.795000076E-1,8.079999685E-2
6.970010938E0,1.407999992E-1,2.386999875E-1,8.999999845E-4
7.000014063E0,1.295000017E-1,1.274999976E-1,8.700000122E-3
7.030015625E0,1.335999966E-1,1.973000020E-1,6.639999896E-2
7.059985938E0,1.136000007E-1,1.615999937E-1,2.499999851E-2
7.080009375E0,8.980000019E-2,1.167999953E-1,6.340000033E-2
7.110010938E0,1.232999936E-1,2.154999971E-1,6.219999865E-2
7.140012500E0,1.122999936E-1,1.573999971E-1,3.039999865E-2
7.170015625E0,7.750000060E-2,5.629999936E-2,3.999999899E-4
7.199985938E0,7.939999551E-2,5.109999701E-2,-2.999999851E-4
7.220007813E0,5.719999969E-2,1.238999963E-1,-9.999999311E-4
7.250009375E0,2.659999952E-2,1.465999931E-1,5.700000003E-2
7.280010938E0,4.259999841E-2,1.159999967E-1,1.649999991E-2
7.310014063E0,6.969999522E-2,1.006999984E-1,6.099999882E-3
7.339985938E0,9.119999409E-2,9.099999815E-2,2.449999936E-2
7.360006250E0,1.057999954E-1,7.750000060E-2,2.389999852E-2
7.390009375E0,8.289999515E-2,9.719999880E-2,1.159999985E-2
7.420010938E0,7.569999993E-2,7.909999788E-2,-1.879999973E-2
7.450012500E0,5.319999903E-2,6.719999760E-2,-1.909999922E-2
7.480015625E0,2.099999972E-2,7.099999487E-2,-3.940000013E-2
7.509985938E0,9.999999311E-4,6.809999794E-2,-4.949999973E-2
7.530007813E0,1.079999935E-2,5.629999936E-2,-3.989999741E-2
7.560009375E0,2.909999900E-2,7.039999962E-2,-2.080000006E-2
7.590012500E0,2.869999968E-2,4.859999940E-2,-2.109999955E-2
7.620014063E0,4.539999738E-2,4.369999841E-2,-1.999999862E-3
7.649984375E0,5.329999700E-2,4.279999807E-2,-1.200000010E-2
7.670006250E0,6.030000001E-2,5.119999871E-2,-2.199999988E-2
7.700007813E0,5.559999868E-2,4.789999872E-2,-2.249999903E-2
7.730010938E0,3.309999779E-2,6.499999762E-2,-3.199999919E-3
7.760012500E0,3.039999865E-2,6.049999967E-2,-3.309999779E-2
7.790015625E0,9.999999311E-4,4.859999940E-2,-3.329999745E-2
7.819985938E0,-1.799999923E-2,2.620000020E-2,-6.300000101E-2
7.840007813E0,2.960000001E-2,6.399999838E-3,-4.339999706E-2
7.870010938E0,-1.999999949E-4,1.519999932E-2,-2.389999852E-2
7.900012500E0,8.200000040E-3,-3.399999812E-3,-2.209999971E-2
