"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.625553645E0,9.737191796E-1,1.969429493E0,-1.589471340E0
3.653842186E0,2.711019993E0,3.995058537E-1,4.398229718E-1
3.675543749E0,2.769663095E0,7.305948138E-1,8.148941994E-1
3.695628645E0,3.353650093E0,1.197295859E-1,9.529497474E-2
3.715762499E0,2.258979559E0,6.267477274E-1,-6.829473376E-1
3.736251041E0,1.193630695E0,6.731734872E-1,-6.377432942E-1
3.763811457E0,7.098253965E-1,6.255260110E-1,-1.685988009E-1
3.785746874E0,-7.086036801E-1,-1.032362223E0,3.078760803E-1
3.813771353E0,-1.426981211E0,4.996877611E-1,6.731734872E-1
3.834901561E0,-2.019520521E0,2.048841953E0,7.293730974E-1
3.855563541E0,-2.056172371E0,-4.948008358E-1,9.529497474E-2
3.883792707E0,-1.987755537E0,9.798278213E-1,8.185594529E-2
3.903796874E0,-1.903456092E0,3.872885704E-1,-3.652974069E-1
3.923843228E0,-3.010343790E0,-1.295034289E-1,-7.977899909E-1
3.948457291E0,-3.852116108E0,-1.690874934E0,5.277875662E-1
3.974460936E0,-2.933374882E0,-1.565036774E0,4.483750761E-1
3.995614582E0,-2.312735796E0,-5.387831330E-1,4.422664344E-1
4.015872395E0,-1.907121301E0,-1.246165112E-1,2.883283794E-1
4.043964582E0,-8.662068844E-1,8.869763017E-1,7.379252315E-1
4.065735936E0,-3.433062732E-1,1.445307136E0,8.662068844E-1
4.094096874E0,5.815436840E-1,1.340238333E0,6.365215778E-1
4.115791666E0,1.803274155E0,7.599163651E-1,-7.696902007E-2
4.135857811E0,2.873510122E0,-2.296853215E-1,-4.337143302E-1
4.163835936E0,2.943148613E0,-9.676105380E-1,1.172861233E-1
4.185545832E0,2.227214575E0,-6.878342628E-1,8.857545853E-1
4.213816145E0,5.204572082E-1,6.914994717E-1,1.200961113E0
4.234859374E0,-2.283414364E0,1.152091861E0,4.923573732E-1
4.255560936E0,-4.816061497E0,1.665218592E0,-3.677408695E-1
4.283805728E0,6.108652335E-3,3.995058537E-1,-1.259604096E0
4.305558332E0,4.312708676E-1,8.943067193E-1,4.605923891E-1
4.325565624E0,1.662775159E0,-9.101892114E-1,1.037249207E0
4.345743228E0,3.291341782E0,-2.913827181E0,1.466076612E0
4.365768749E0,4.359134197E0,-3.771481991E0,-1.897347450E0
4.394025520E0,2.340835571E0,-1.169196010E0,-3.323106766E0
4.415785416E0,3.337767601E0,1.773952603E0,2.241875410E0
4.446600520E0,3.806912184E0,1.078788042E0,4.996877611E-1
4.473788020E0,3.127629995E0,1.820378453E-1,-9.749408960E-1
4.494032291E0,2.091602564E0,-3.677408695E-1,-8.649851680E-1
4.515736978E0,1.937664509E0,-1.165530920E0,-2.431243658E-1
4.536184374E0,1.255938888E0,-1.698205352E0,5.497787148E-2
4.564333853E0,3.958406746E-1,-2.592512131E0,5.045746565E-1
4.585552082E0,-3.494149148E-1,2.040289938E-1,7.012732625E-1
4.613821874E0,-2.131919622E0,1.736078978E0,1.369559884E0
4.634942707E0,-2.437352180E0,1.666440368E0,7.782422900E-1
4.655536457E0,-2.625498772E0,1.722639918E0,-8.674286306E-2
4.675561457E0,-2.940705299E0,6.145304441E-1,-3.652974069E-1
4.703784374E0,-3.701843262E0,8.503243923E-1,-6.927211881E-1
4.725552603E0,-4.024380207E0,-1.849699974E0,-5.925392509E-1
4.745771874E0,-3.938858986E0,-1.828930497E0,-4.447098970E-1
4.773995832E0,-3.475823164E0,-1.122770309E0,1.832595766E-1
4.794059374E0,-2.791654110E0,1.001819000E-1,6.939429045E-1
4.815755728E0,-2.243097067E0,1.644449234E0,5.497786999E-1
4.835900520E0,-1.594358325E0,2.084272146E0,4.068362415E-1
4.863796353E0,-5.693264008E-1,1.810604572E0,3.359758854E-1
4.883816145E0,5.106833577E-1,1.249830246E0,2.602286041E-1
4.903863540E0,1.348790407E0,8.991936445E-1,7.330382708E-3
4.923934895E0,1.985311985E0,2.443460934E-2,-2.015855312E-1
4.947167707E0,2.116037130E0,-2.382374406E-1,1.527163088E-1
4.973860936E0,2.339613914E0,-1.003040671E0,3.750712574E-1
4.994895832E0,2.349387646E0,-7.819074988E-1,-1.343903504E-2
5.015784374E0,-8.491026759E-1,4.007275999E-1,-2.431243658E-1
5.035867186E0,-3.568674803E0,9.566149712E-1,-4.923573732E-1
5.064108332E0,-2.828305960E0,3.323106766E-1,8.918632567E-2
5.085543749E0,9.480628371E-1,-2.476447582E0,-6.059783101E-1
5.105758853E0,-5.742133036E-2,6.817256212E-1,-1.844813079E-1
5.135466665E0,2.019520521E0,-1.953547001E0,7.660250068E-1
5.155566145E0,4.152661800E0,-2.923600912E0,4.740314186E-1
5.183759895E0,3.121521473E0,-1.491732955E0,-3.754377842E0
5.204403124E0,2.502104044E0,2.109928608E0,-1.711644411E0
5.225747915E0,4.258952618E0,5.937610269E-1,2.322509527E0
5.253784895E0,4.019493103E0,8.478809595E-1,5.448917747E-1
5.273982290E0,2.932153225E0,3.310889602E-1,-9.431759119E-1
5.294130207E0,1.690874934E0,-7.855727077E-1,-1.143539667E0
5.315781249E0,1.646892667E0,-1.351233959E0,-3.017674387E-1
5.335909895E0,1.296256065E0,-1.064127207E0,2.101376355E-1
5.363791665E0,2.321287990E-2,-1.386664033E0,4.569272101E-1
5.383796874E0,-7.513642311E-1,8.356636167E-1,8.002334833E-1
5.403810415E0,-1.637118816E0,1.703092337E0,1.535715222E0
5.425548957E0,-2.062281132E0,1.433089852E0,1.011592865E0
5.446516665E0,-2.430022001E0,1.869247675E0,1.820378453E-1
5.474061457E0,-2.747671843E0,5.754350424E-1,-6.682865620E-1
5.494507811E0,-2.849075556E0,-2.809980139E-2,-6.401867867E-1
5.515757290E0,-3.747047424E0,-2.700024247E-1,-1.062905550E0
5.535839582E0,-4.894252300E0,-1.745852828E0,-5.045746565E-1
5.563784374E0,-3.753155947E0,-1.778839588E0,1.624901593E-1
5.583784895E0,-2.916270733E0,-1.056796908E0,-3.054326214E-2
5.605572915E0,-2.251649141E0,1.232726097E0,6.279694438E-1
5.635360936E0,-1.340238333E0,2.184454203E0,4.899139106E-1
5.655559894E0,-7.159340382E-1,2.235766649E0,2.809980214E-1
5.683777082E0,5.412266254E-1,1.615127683E0,8.918632567E-2
5.703794269E0,1.384220600E0,7.195992470E-1,8.552113548E-3
5.723853124E0,2.136806488E0,-4.129449129E-1,1.918116808E-1
5.744390624E0,2.400700331E0,-1.123992085E0,5.827654600E-1
5.765773957E0,2.271196842E0,-1.759291887E0,1.138652802E0
5.793979165E0,2.985909224E0,8.552113175E-2,5.204572082E-1
5.815741144E0,-7.855727077E-1,1.502728462E0,-1.295034289E-1
5.836234374E0,-3.638313293E0,1.451415777E0,-8.295549750E-1
5.863832811E0,-4.021936893E0,2.447126150E0,-7.452555895E-1
5.885565624E0,-4.398229718E-1,-1.282817006E0,-7.232644558E-1
5.913797915E0,1.000597239E0,-1.285260439E0,2.003637999E-1
5.947683332E0,3.699399948E0,-3.569896460E0,1.899790883E0
5.973993228E0,3.863111734E0,-3.182607889E0,-2.753780365E0
5.994073957E0,2.193006277E0,5.009095073E-1,-5.277875423E0
6.015747394E0,3.765373230E0,8.258898258E-1,2.447126150E0
6.036154686E0,4.776966095E0,9.749408960E-1,1.951103568E0
6.063770832E0,4.302934647E0,2.858849168E-1,-5.839871764E-1
6.085561978E0,2.574186087E0,-1.189965487E0,-1.299921274E0
6.114408332E0,2.444682598E0,-1.881464958E0,-6.267477274E-1
6.135374999E0,1.153313518E0,-1.448972344E0,1.466076542E-2
6.155542186E0,-1.099557430E-2,-1.404990107E-1,3.885102868E-1
6.175568749E0,-9.578366876E-1,1.690874934E0,7.440338731E-1
