"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.973620832E0,2.125000000E1,-4.275000000E1,-2.562500000E0
8.003542707E0,2.075000000E1,-4.206250000E1,-4.562500000E0
8.034767707E0,2.112500000E1,-4.262500000E1,-6.187500000E0
8.063420832E0,2.137500000E1,-4.350000000E1,-5.500000000E0
8.093665102E0,2.118750000E1,-4.337500000E1,-3.625000000E0
8.123565623E0,2.087500000E1,-4.362500000E1,-7.500000000E-1
8.143797394E0,2.068750000E1,-4.393750000E1,1.312500000E0
8.173468748E0,1.962500000E1,-4.412500000E1,3.000000000E0
8.193637498E0,1.987500000E1,-4.475000000E1,2.062500000E0
8.213787498E0,2.087500000E1,-4.418750000E1,-3.750000000E-1
8.234268227E0,2.150000000E1,-4.337500000E1,-2.312500000E0
8.265825519E0,2.162500000E1,-4.293750000E1,-4.562500000E0
8.293635936E0,2.050000000E1,-4.381250000E1,-2.250000000E0
8.323361977E0,2.012500000E1,-4.443750000E1,2.187500000E0
8.343665623E0,2.250000000E1,-4.293750000E1,4.875000000E0
8.373485415E0,2.518750000E1,-4.137500000E1,1.025000000E1
8.393765102E0,2.418750000E1,-4.087500000E1,1.387500000E1
8.423569790E0,2.268750000E1,-3.931250000E1,1.787500000E1
8.446584894E0,2.325000000E1,-3.825000000E1,2.012500000E1
8.473451040E0,2.531250000E1,-3.643750000E1,2.175000000E1
8.493832290E0,2.618750000E1,-3.562500000E1,2.212500000E1
8.523379165E0,2.675000000E1,-3.525000000E1,2.256250000E1
8.543634894E0,2.606250000E1,-3.625000000E1,2.243750000E1
8.563856769E0,2.412500000E1,-3.718750000E1,2.150000000E1
8.593650519E0,2.162500000E1,-3.912500000E1,1.925000000E1
8.623363540E0,2.025000000E1,-4.112500000E1,1.781250000E1
8.643662498E0,2.000000000E1,-4.175000000E1,1.575000000E1
8.673406769E0,2.112500000E1,-4.250000000E1,1.175000000E1
8.693638540E0,2.231250000E1,-4.281250000E1,8.312500000E0
8.713763019E0,2.237500000E1,-4.312500000E1,4.062500000E0
8.734124998E0,2.206250000E1,-4.275000000E1,3.750000000E-1
8.763432811E0,2.181250000E1,-4.325000000E1,-3.875000000E0
8.793633332E0,2.162500000E1,-4.306250000E1,-5.937500000E0
8.813769269E0,2.125000000E1,-4.231250000E1,-6.375000000E0
8.834098436E0,2.125000000E1,-4.237500000E1,-5.375000000E0
8.863368227E0,2.193750000E1,-4.256250000E1,-3.187500000E0
8.883624477E0,2.193750000E1,-4.275000000E1,-1.750000000E0
8.913805727E0,2.206250000E1,-4.312500000E1,1.375000000E0
8.947198436E0,2.175000000E1,-4.318750000E1,4.375000000E0
8.973601040E0,2.025000000E1,-4.393750000E1,1.562500000E0
8.993787498E0,2.118750000E1,-4.368750000E1,-1.750000000E0
9.023413019E0,2.225000000E1,-4.331250000E1,-3.562500000E0
9.043590102E0,2.193750000E1,-4.312500000E1,-3.375000000E0
9.073410415E0,2.093750000E1,-4.343750000E1,-1.062500000E0
9.093583852E0,1.981250000E1,-4.450000000E1,1.687500000E0
9.123756769E0,2.256250000E1,-4.262500000E1,7.812500000E0
9.153594269E0,2.418750000E1,-4.075000000E1,1.337500000E1
9.173612498E0,2.168750000E1,-4.093750000E1,1.693750000E1
9.193773956E0,2.018750000E1,-4.006250000E1,2.062500000E1
9.223438540E0,2.081250000E1,-3.762500000E1,2.337500000E1
9.243604165E0,2.306250000E1,-3.650000000E1,2.387500000E1
9.273411456E0,2.650000000E1,-3.581250000E1,2.381250000E1
9.293640623E0,2.668750000E1,-3.525000000E1,2.325000000E1
9.323397915E0,2.493750000E1,-3.587500000E1,2.231250000E1
9.343592706E0,2.312500000E1,-3.762500000E1,2.175000000E1
