"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.982859374E0,1.937299967E0,5.708499908E0,-1.472999901E-1
3.012911457E0,7.118700027E0,-1.057929993E1,8.857500076E0
3.032969791E0,-7.176599979E0,-3.498099804E0,7.221899986E0
3.062822916E0,-1.086300015E0,-6.147799969E0,-1.981299996E0
3.083021353E0,1.448199987E0,-9.269399643E0,-1.218699932E0
3.103072916E0,3.354099989E0,-7.871199608E0,3.746399879E0
3.133108853E0,1.578699946E0,2.192499876E0,-5.092899799E0
3.162854687E0,-5.882999897E-1,1.775790024E1,-5.820699692E0
3.182876562E0,-4.478600025E0,4.746599674E0,4.890999794E-1
3.203045312E0,-1.129899979E0,5.894999981E0,5.055399895E0
3.233136978E0,-7.396000028E-1,8.389100075E0,5.651999712E-1
3.262846353E0,2.686399937E0,6.150300026E0,-2.077800035E0
3.293275520E0,3.925400019E0,-3.154199839E0,-2.984699965E0
3.322872916E0,1.061999917E0,-4.049600124E0,-7.091999650E-1
3.343060937E0,1.104200006E0,-6.615799904E0,1.797399998E0
3.372878124E0,2.316999882E-1,-8.103499413E0,2.239300013E0
3.393188020E0,-6.969999522E-2,-9.707499504E0,-3.599999938E-3
3.422886978E0,2.824699879E0,-7.662099838E0,-4.763499737E0
3.452135416E0,-2.908000052E-1,4.710000008E-2,-1.282299995E0
3.472855728E0,-4.089799881E0,-3.319000006E0,5.533099651E0
3.493070832E0,-2.921900034E0,-1.775099993E0,7.855799675E0
3.523118228E0,-5.044600010E0,2.642579842E1,-1.798159981E1
3.553131249E0,-8.947099686E0,-1.752949905E1,-1.603299975E0
3.582888020E0,7.470299721E0,-8.066599846E0,-1.174399948E1
3.603062499E0,6.775699615E0,1.503549957E1,-1.841040039E1
3.632869791E0,3.214599848E0,1.333129978E1,1.095300007E1
3.663100520E0,8.844999671E-1,1.762799978E0,2.429199934E0
3.693343228E0,3.217199802E0,3.269199848E0,5.733900070E0
3.722869270E0,-3.982699871E0,2.172099829E0,1.166199923E0
3.743180728E0,-3.474099874E0,1.606699944E0,6.944999695E0
3.773020832E0,8.576999903E-1,-5.858699799E0,5.915999889E0
3.793100520E0,2.148200035E0,-1.055630016E1,1.604000032E-1
3.823015624E0,6.675999761E-1,-1.155089951E1,-4.344599724E0
3.843040624E0,2.594199896E0,-8.602299690E0,4.928999901E0
3.863080728E0,-3.812699795E0,-4.717999935E0,1.414199948E0
3.893095311E0,-4.943399906E0,-8.592000008E-1,-2.017999887E0
3.922880728E0,8.733999729E-1,2.865239906E1,-2.460299969E0
3.952722916E0,-9.726999998E-1,6.420199871E0,-7.708999515E-1
3.973370311E0,-1.050199986E0,8.206500053E0,1.217599988E0
4.002896353E0,1.688199997E0,9.885499954E0,-2.577800035E0
4.022897916E0,5.963000059E-1,2.981199980E0,-1.380999923E0
4.043050520E0,3.304999769E-1,1.297899961E0,-3.072999954E0
4.072886978E0,-2.678000033E-1,-4.718699932E0,-1.094200015E0
4.093191666E0,4.101999998E-1,-8.071399689E0,6.754999757E-1
4.122845311E0,4.316999912E-1,-1.239029980E1,3.223399878E0
4.143089061E0,-1.192199945E0,-1.566379929E1,3.367300034E0
4.172985936E0,3.422999978E-1,-1.413479996E1,-3.450699806E0
4.193341145E0,3.138199806E0,-4.986399651E0,-6.110599995E0
4.222864061E0,3.030699968E0,1.056229973E1,-9.353799820E0
4.243259374E0,-2.535799980E0,1.058580017E1,-1.294499993E0
4.272894270E0,-1.103949928E1,2.143239975E1,1.260339928E1
4.293093749E0,-7.906099796E0,-6.958999634E-1,-3.003679848E1
4.322844270E0,-5.095999718E0,-1.447339916E1,-4.424399853E0
4.343082811E0,5.475699902E0,-1.850539970E1,-4.969399929E0
4.373105207E0,3.126499891E0,6.290999889E0,-1.535869980E1
4.393111457E0,-6.912699699E0,5.346310043E1,-7.943199635E0
4.422844791E0,1.026719952E1,-3.980499983E0,3.144699812E0
4.452967186E0,2.181999922E0,1.307899952E0,2.926399946E0
4.482895832E0,-9.941999435E0,3.861599922E0,1.315199971E0
4.503102603E0,-7.948099613E0,1.816999912E0,5.794099808E0
4.532942186E0,8.460999727E-1,-3.815799952E0,3.972599983E0
4.553344791E0,5.043900013E0,-8.090700150E0,3.002499819E0
4.582978124E0,2.251399994E0,-7.819299698E0,2.368999869E-1
4.612908332E0,-3.277899981E0,-4.248399734E0,3.722199917E0
4.643306249E0,-4.630799770E0,-6.784999847E0,-1.584599972E0
4.672841145E0,-2.534899950E0,1.740000010E0,-2.286599874E0
4.693066665E0,3.969199896E0,2.018529892E1,-1.219299912E0
4.713148957E0,-2.673499823E0,1.209609985E1,1.071499944E0
4.743268228E0,-3.693899870E0,1.039729977E1,-7.453999519E-1
4.773079686E0,-6.333999634E-1,1.359980011E1,-8.235999942E-1
4.793139582E0,4.888499737E0,1.108959961E1,-2.240399837E0
4.822872395E0,3.975699902E0,4.901599884E0,-2.827899933E0
4.843056770E0,1.226499915E0,3.662000000E-1,-1.828299999E0
4.872885415E0,-1.790199995E0,-4.587699890E0,-1.235199928E0
4.893234374E0,-6.499999762E-1,-6.181900024E0,-1.202199936E0
4.922889061E0,-4.010499954E0,-1.368750000E1,-1.273999959E-1
4.953809374E0,-2.175799847E0,-2.010929871E1,-6.381199837E0
4.982860936E0,3.022899866E0,-1.246570015E1,-7.203599930E0
5.003037499E0,5.661000013E-1,-5.958999991E-1,-9.275699615E0
5.032889061E0,-6.504600048E0,1.238529968E1,2.730999947E0
5.052930728E0,-1.009799957E1,4.200200081E0,1.620170021E1
5.072957290E0,-1.373659992E1,1.600029945E1,2.286000013E0
5.093128645E0,1.964999884E-1,3.371799946E0,-3.160039902E1
5.122843228E0,4.504099846E0,-8.135799408E0,2.706699848E0
5.143301561E0,7.087599754E0,-1.054780006E1,-6.383699894E0
5.173127082E0,1.844699979E0,1.576799989E0,-1.258109951E1
5.203174478E0,-1.370440006E1,4.505839920E1,6.238699913E0
5.233056770E0,8.098799706E0,-1.821999907E0,3.191099882E0
5.263054165E0,3.660999835E-1,2.373199940E0,1.921700001E0
5.293233332E0,-6.651700020E0,1.878299952E0,3.602099895E0
5.322916665E0,-1.800699949E0,-5.223799706E0,6.049900055E0
5.343094790E0,2.320899963E0,-8.341799736E0,3.032699823E0
5.373273957E0,5.129799843E0,-9.913700104E0,-1.954699993E0
5.402823436E0,-2.777199984E0,-4.919799805E0,2.731600046E0
5.422858332E0,-5.912099838E0,-5.427199841E0,2.617599964E0
5.452638540E0,-8.334400177E0,-7.211799622E0,-1.143299937E0
5.473143749E0,-2.458999872E0,-1.972499967E0,-1.670899987E0
5.493416665E0,6.140500069E0,2.347279930E1,-2.104199886E0
5.522871874E0,-2.039099932E0,9.586299896E0,-4.963900089E0
5.543376561E0,-9.534899712E0,5.724599838E0,2.305299997E0
5.573140624E0,-5.119000077E-1,1.038449955E1,-2.969000041E-1
5.602855728E0,7.768899918E0,8.565400124E0,-4.567399979E0
5.622867186E0,5.165299892E0,6.271800041E0,-3.607899904E0
5.643171874E0,2.960099936E0,1.670499921E0,-3.468599796E0
5.672878644E0,-1.427799940E0,-2.434000015E0,-1.038599968E0
5.693172394E0,-2.231400013E0,-6.176399708E0,1.727999896E-1
5.722879686E0,-5.400399685E0,-1.385949993E1,9.226999879E-1
5.743274999E0,-3.683699846E0,-2.116209984E1,-4.763799667E0
5.773022915E0,6.131799698E0,-1.450339985E1,-6.632999897E0
5.793063540E0,4.853099823E0,-6.167199612E0,-9.882599831E0
5.822817707E0,-9.229999781E-2,1.731029892E1,-6.241199970E0
5.843084374E0,-9.897500038E0,1.199020004E1,9.282899857E0
5.872882290E0,-1.411739922E1,2.644149971E1,-1.129699945E0
5.893190103E0,-1.887899995E0,-4.658199787E0,-2.563889885E1
5.922843749E0,-3.741400003E0,-1.519659996E1,-1.246999979E0
5.955976040E0,9.134699821E0,-1.793439865E1,-1.426929951E1
5.983178644E0,3.185699940E0,4.233939743E1,-1.222869968E1
6.012984894E0,1.734499931E0,2.118700027E0,8.625100136E0
6.033118228E0,7.054199696E0,-4.326900005E0,3.717599869E0
6.062846353E0,9.539999813E-2,3.228399992E0,7.106999755E-1
6.093244269E0,-7.739699841E0,4.032400131E0,6.878699780E0
6.122839582E0,-1.154899955E0,-1.275599957E0,7.234499931E0
6.143108332E0,3.161899805E0,-4.938999653E0,-1.091699958E0
6.173045832E0,7.744899750E0,-9.847499847E0,4.587500095E0
6.193091665E0,4.257100105E0,-5.584300041E0,1.014470005E1
6.222840624E0,-8.881599426E0,-4.388700008E0,-4.815199852E0
6.243244269E0,-1.045549965E1,-8.436299324E0,-3.003799915E0
6.273056769E0,-4.147299767E0,-4.942399979E0,2.868399858E0
6.293095832E0,2.766299963E0,7.952799797E0,1.856199980E0
6.313133332E0,7.051499844E0,3.736199951E1,-3.897599936E0
6.343301561E0,-8.547100067E0,7.236099720E0,-1.313199997E0
6.372885936E0,-1.586999893E-1,1.144679928E1,8.892999887E-1
6.393384374E0,4.493199825E0,9.068799973E0,-3.067399979E0
6.422836978E0,5.643799782E0,4.695300102E0,-4.373399734E0
6.452430728E0,4.387999773E-1,-9.081999660E-1,-4.148900032E0
6.472924999E0,-1.560799956E0,-5.412799835E0,-3.022300005E0
6.493406769E0,-1.934499979E0,-7.642299652E0,-1.574199915E0
6.522819790E0,-5.151299953E0,-1.586649990E1,-8.673999906E-1
6.543083332E0,-3.546999991E-1,-2.288509941E1,-2.999899864E0
6.572863019E0,2.561699867E0,-1.367140007E1,-7.772899628E0
6.593333332E0,-2.143100023E0,-3.768999875E-1,-1.089540005E1
6.622888540E0,-1.085750008E1,1.320419979E1,5.501699924E0
6.643122394E0,-1.437559986E1,2.020189857E1,1.797279930E1
6.672922915E0,5.173899651E0,-8.307099342E0,-2.589639854E1
6.693105207E0,3.754499912E0,-1.111019993E1,-2.430099964E0
6.722816665E0,6.274399757E0,-1.398699951E1,-1.446949959E1
6.743063019E0,2.612099886E0,-1.734200001E0,-1.448259926E1
6.763068228E0,-3.398699999E0,4.812249756E1,-8.913800240E0
6.793356769E0,3.321699858E0,1.455999970E0,1.143289948E1
6.822845832E0,3.834800005E0,2.995899916E0,3.286599874E0
6.843092186E0,-1.808099985E0,4.785699844E0,7.015999556E-1
6.872880728E0,-6.762699604E0,-2.087000012E-1,9.166999817E0
6.893284373E0,-1.854399920E0,-4.154299736E0,5.092799664E0
6.922851040E0,8.917399406E0,-9.868399620E0,2.643899918E0
6.955798957E0,3.908799887E0,-4.848099709E0,4.851699829E0
6.982874478E0,-1.017499924E0,-5.021500111E0,1.505899906E0
