"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.015259894E0,-9.672574997E-1,1.675941229E0,3.514688015E0
8.035802082E0,2.298433632E-1,-1.244984865E0,3.169923067E0
8.060373436E0,-3.064578056E0,-8.236053467E0,3.189076662E0
8.080378644E0,-6.636727333E0,-1.889504051E1,-9.576806799E-3
8.100557811E0,5.305551052E0,-1.172201157E1,-2.920926094E0
8.120559373E0,3.361459255E0,-3.447650433E0,-8.896853447E0
8.145276040E0,4.750096321E0,1.326387787E1,-8.350975990E0
8.170384373E0,-5.851428986E0,3.565445328E1,2.074336433E1
8.195205207E0,-1.424071217E1,1.307234097E1,1.408748245E1
8.215350519E0,-3.246537447E0,1.811931801E1,-1.958456993E1
8.235540623E0,1.733402014E0,-3.332728863E0,-1.868435097E1
8.260410936E0,8.025363922E0,1.436520964E-1,5.401319027E0
8.280421352E0,9.481039047E0,3.284844637E0,-9.299078941E0
8.300611977E0,4.644751072E0,1.118570995E1,-1.207635307E1
8.325196873E0,-1.847365952E1,4.466622543E1,1.915361404E0
8.345280207E0,2.135627985E0,2.234268951E1,1.248815632E1
8.370396873E0,1.453759289E1,1.178904915E1,1.589749932E0
8.390401040E0,5.525817394E0,1.532289124E1,-2.432508945E0
8.410570832E0,-7.632715225E0,1.048660374E1,4.453215122E0
8.447426040E0,-5.525817394E0,6.703764915E0,4.491522312E0
8.470397915E0,6.081272125E0,1.742978811E0,1.063025594E0
8.495318227E0,6.914454460E0,1.388636947E0,3.639186621E-1
8.520373957E0,6.703764796E-1,5.027823448E0,2.700659513E0
8.540392707E0,-8.331822157E-1,3.916913986E0,1.149216771E0
8.560657290E0,-4.089296341E0,2.097320795E0,-3.926490784E0
8.585267186E0,-6.646304131E0,2.777273953E-1,-2.614468336E0
8.610358852E0,-2.020706177E0,9.643844604E0,3.227383852E0
8.630611977E0,1.113782597E1,4.335420609E1,4.424484730E0
8.655195311E0,-3.974374771E0,2.059971237E1,-3.141192675E0
8.675210936E0,-3.715801001E0,1.718079185E1,4.874594688E0
8.700397394E0,-7.469909191E-1,2.308010483E1,4.970362663E0
8.725210415E0,6.014234543E0,2.219903755E1,-1.484405041E0
8.745264061E0,7.833827972E0,1.478658962E1,1.963245392E0
8.765286977E0,4.060565948E0,8.810662270E0,3.160346270E0
8.790389582E0,-7.278373241E-1,4.797980309E0,3.552995205E0
8.810583852E0,-6.895300746E-1,-3.734954596E-1,2.643198729E0
8.835486457E0,-5.650315881E-1,-5.267243862E0,2.873042107E0
8.860353123E0,-5.209783077E0,-1.861731148E1,-1.369483352E0
8.880590102E0,1.695094824E0,-1.083136845E1,-2.614468336E0
8.905215102E0,2.240972757E0,7.182605267E-1,-1.109951878E1
8.930380206E0,1.819593310E0,1.927811241E1,-6.703764915E0
8.951301561E0,-7.891288757E0,3.432327652E1,2.132754898E1
8.975211456E0,-1.007480049E1,1.951753235E1,2.314714241E1
8.995248956E0,6.665457726E0,1.296699619E1,-3.255156708E1
9.015336977E0,4.750096321E0,-9.155426979E0,-1.578257751E1
9.035852081E0,-3.294421434E0,-1.000776291E1,1.075475407E1
9.060360415E0,8.858546257E0,-6.445190907E0,-4.472368717E0
9.080551561E0,4.759673119E0,1.013226128E1,-6.358999729E0
9.100591665E0,-6.320692539E0,6.773675537E1,-1.238281155E1
9.125276040E0,1.561019540E0,1.399171448E1,9.375694275E0
9.150567186E0,8.389283180E0,1.164539719E1,1.254561663E0
9.170575519E0,-4.884171486E0,1.415452003E1,-2.011129379E0
9.195298436E0,-1.311064816E1,9.184157372E0,1.007480049E1
9.220345311E0,-3.485957623E0,5.612008572E0,4.529829502E0
9.240401561E0,8.044517517E0,4.501099110E0,1.474828243E0
9.265275519E0,1.149216843E1,-6.991068721E-1,-4.165910721E0
9.290374998E0,2.470816135E0,7.115567684E0,6.684611320E0
9.310379165E0,-8.427590132E-1,5.391742229E0,3.093308687E0
9.330625519E0,-6.358999729E0,1.053448796E0,-3.926490784E0
9.355209373E0,-7.584830761E0,-1.034295082E0,-2.001552582E0
9.375217706E0,-2.384624958E0,3.734954596E0,3.313575268E0
9.400390102E0,1.240196514E1,3.136404228E1,7.948749661E-1
9.425261977E0,3.323152065E0,3.197695732E1,-8.916007042E0
