"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.279998437E0,1.628566742E0,-4.300491214E-1,5.852088928E-1
4.300018750E0,1.538158655E0,-4.068362415E-1,5.021312237E-1
4.325006250E0,1.330464482E0,-1.747074574E-1,3.506366313E-1
4.349981250E0,1.332907915E0,-3.323106766E-1,2.064724565E-1
4.370009375E0,1.362229466E0,-3.555235565E-1,3.176499158E-2
4.395000000E0,1.159422159E0,-3.457497358E-1,-4.398229718E-2
4.419995312E0,8.613199592E-1,-2.419026345E-1,-4.276056588E-2
4.444992187E0,7.623597980E-1,-4.776966274E-1,-1.050688177E-1
4.469989062E0,8.026769161E-1,-3.420845270E-1,-1.820378453E-1
4.494985937E0,7.489207983E-1,-3.176499307E-1,-3.274237812E-1
4.519982812E0,8.112290502E-1,-3.066543341E-1,-2.675589621E-1
4.540004687E0,6.560692787E-1,-1.942551434E-1,-2.467895597E-1
4.565000000E0,7.281513810E-1,-9.773843735E-2,-2.394591719E-1
4.589996875E0,7.696902156E-1,-1.502728462E-1,-1.808161139E-1
4.610003125E0,7.476990223E-1,-2.809980214E-1,-1.014036313E-1
4.634984375E0,7.855727077E-1,-2.321287841E-1,-9.773843735E-2
4.659981250E0,6.524040699E-1,-2.675589621E-1,-1.343903542E-1
4.680003125E0,5.583308339E-1,-3.665191308E-2,-1.710422635E-1
4.705000000E0,4.789183438E-1,5.131268129E-2,-1.539380401E-1
4.729996875E0,4.166100919E-1,-7.208209485E-2,-2.003637999E-1
4.754992187E0,1.380555481E-1,-2.724458873E-1,-2.785545588E-1
4.779989062E0,-1.466076523E-1,-1.270599663E-1,-3.359758854E-1
4.804985937E0,-4.239404798E-1,-1.099557430E-1,-4.862487316E-1
4.829982812E0,-5.277875662E-1,-1.172861233E-1,-4.471533597E-1
4.850028125E0,-5.277875662E-1,-1.747074574E-1,-3.371976018E-1
4.875000000E0,-3.213151097E-1,-9.529497474E-2,-1.844813079E-1
4.899998437E0,-9.896016866E-2,2.467895597E-1,-1.307251602E-1
4.924993750E0,-1.710422635E-1,2.651154995E-1,-2.932153083E-2
4.950031250E0,-6.426302195E-1,3.628539443E-1,3.420845419E-2
4.974985937E0,-8.539896011E-1,3.457497358E-1,-4.764748737E-2
5.000014062E0,-6.352998614E-1,1.661553383E-1,8.063421398E-2
5.024979687E0,-2.663372457E-1,-1.062905490E-1,2.382374406E-1
5.045001562E0,-8.674286306E-2,1.954768784E-2,2.834414840E-1
5.070023437E0,-1.270599663E-1,4.373795092E-1,3.286454976E-1
5.094995312E0,-3.433062732E-1,6.829473376E-1,2.956587672E-1
5.119990625E0,-6.230825186E-1,6.853907704E-1,1.331686229E-1
5.144987500E0,-9.407324791E-1,4.923573732E-1,1.148426607E-1
5.169984375E0,-1.084896684E0,5.302309990E-1,1.038470864E-1
5.190007812E0,-9.492845535E-1,3.933972120E-1,1.881464869E-1
5.215003125E0,-7.831292152E-1,7.110471129E-1,2.553416789E-1
5.240010937E0,-8.124507666E-1,1.159422159E0,2.602286041E-1
5.264995312E0,-1.141096234E0,1.400103092E0,1.551597714E-1
5.289992187E0,-1.192408919E0,1.303586364E0,1.026253626E-1
5.314989062E0,-1.149648428E0,7.574728727E-1,9.285151958E-2
5.339985937E0,-1.182635069E0,2.113593668E-1,7.696902007E-2
5.364981250E0,-1.268156171E0,2.089159042E-1,1.563815027E-1
5.385003125E0,-1.350012183E0,1.539380401E-1,6.352998316E-2
5.410001562E0,-1.459967971E0,1.881464869E-1,-1.246165112E-1
5.434996875E0,-1.348790407E0,7.929030657E-1,6.108652335E-3
5.459993750E0,-1.332907915E0,9.419541955E-1,-2.687807009E-2
5.484989062E0,-1.370781541E0,1.142318010E0,3.543018550E-2
5.509992187E0,-1.323134065E0,9.114109278E-1,-1.014036313E-1
5.534982812E0,-1.385442376E0,6.597344279E-1,-2.761110961E-1
5.555004687E0,-1.341460109E0,6.096435189E-1,-1.307251602E-1
5.580001562E0,-1.246165037E0,6.169738770E-1,-5.986479297E-2
5.604998437E0,-1.334129691E0,2.773328125E-1,-9.285151958E-2
5.630028125E0,-1.616349459E0,3.860668242E-1,-1.490511149E-1
5.654990625E0,-1.582140923E0,4.911356568E-1,3.420845419E-2
5.679987500E0,-1.233947754E0,5.448917747E-1,5.009094998E-2
5.699993750E0,-8.173376918E-1,8.087855577E-1,5.742133036E-2
5.720001562E0,-5.534439087E-1,6.328563690E-1,3.176499158E-2
5.744996875E0,-7.086036801E-1,-3.310889602E-1,-4.642575979E-2
5.770031250E0,-6.328563690E-1,-6.658431292E-1,-5.619960278E-2
5.794989062E0,-2.394591719E-1,-7.452555895E-1,1.087340117E-1
5.819985937E0,2.162462920E-1,-8.234463334E-1,5.009094998E-2
5.839987500E0,2.748893499E-1,-6.279694438E-1,-2.443460934E-2
5.860000000E0,3.420845270E-1,-4.227187335E-1,7.330382615E-2
5.884995312E0,3.103195429E-1,-3.665191531E-1,6.963863969E-2
5.909992187E0,5.778785348E-1,-3.506366313E-1,1.392772794E-1
