"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.184984375E0,1.130063176E0,1.522712231E0,9.662998199E0
4.209996875E0,5.075707436E-1,2.039859772E0,1.063025570E1
4.230003125E0,4.022258818E-1,3.390189648E0,9.605537415E0
4.255000000E0,9.481038451E-1,5.248090267E0,8.801085472E0
4.279998437E0,6.416460276E-1,6.713341713E0,7.556100368E0
4.300018750E0,2.681505978E-1,6.837840080E0,7.086836815E0
4.325006250E0,7.086837292E-1,4.338293552E0,8.226476669E0
4.349981250E0,1.244984865E-1,3.112462282E0,8.245630264E0
4.370009375E0,-4.213795066E-1,4.060565948E0,7.431602001E0
4.395000000E0,-3.734954596E-1,6.636727333E0,7.134721279E0
4.419995312E0,3.064578176E-1,7.498639584E0,8.063671112E0
4.444992187E0,2.212242365E0,6.493074894E0,8.686163902E0
4.469989062E0,2.317587137E0,6.780379295E0,7.690176010E0
4.494985937E0,2.202665567E0,6.780379295E0,7.814674377E0
4.519982812E0,2.078166962E0,7.718906403E0,7.450755596E0
4.540004687E0,1.618480325E0,8.389283180E0,7.891288757E0
4.565000000E0,2.212242365E0,7.967903137E0,7.738059998E0
4.589996875E0,2.011129379E0,7.546523571E0,7.431602001E0
4.610003125E0,1.810016513E0,6.847416878E0,7.517793179E0
4.634984375E0,1.340752959E0,6.512228489E0,6.742072105E0
4.659981250E0,4.596867263E-1,6.167463779E0,5.765237808E0
4.680003125E0,8.810662031E-1,6.770802498E0,5.841852188E0
4.705000000E0,1.637633920E0,7.201758862E0,6.358999729E0
4.729996875E0,9.864110947E-1,7.967903137E0,6.167463779E0
4.754992187E0,1.101332784E0,8.456320763E0,6.607996464E0
4.779989062E0,1.474828243E0,8.264783859E0,7.326257229E0
4.804985937E0,1.302445769E0,7.939172745E0,6.866570473E0
4.829982812E0,7.661445439E-2,8.456320763E0,6.368576527E0
4.850028125E0,5.458779931E-1,8.379706383E0,6.512228489E0
4.875000000E0,5.075707436E-1,8.446743965E0,8.082824707E0
4.899998437E0,1.407790542E0,8.523358345E0,8.293514252E0
4.924993750E0,1.982398987E0,9.145850182E0,7.345410824E0
4.950031250E0,1.130063176E0,9.050082207E0,5.276820660E0
4.974985937E0,1.991975784E0,7.910442352E0,5.707777023E0
5.000014062E0,2.355894566E0,6.397306919E0,7.364564419E0
5.024979687E0,1.350329757E0,5.238513470E0,7.527369976E0
5.045001562E0,1.608903527E0,5.410895824E0,6.454767704E0
5.070023437E0,1.695094824E0,6.493074894E0,5.966350555E0
5.094995312E0,9.959878922E-1,7.354987621E0,7.690176010E0
5.119990625E0,1.359906554E0,8.226476669E0,8.609549522E0
5.144987500E0,8.810662031E-1,7.575253963E0,8.580819130E0
5.169984375E0,1.149216771E0,6.272808552E0,9.366117477E0
5.190007812E0,2.269703150E0,5.640739441E0,9.279925346E0
5.215003125E0,3.016694069E0,5.832275391E0,7.546523571E0
5.240010937E0,2.183511972E0,7.086836815E0,7.029376030E0
5.264995312E0,6.991068721E-1,7.278373241E0,7.795520782E0
5.289992187E0,-8.714894056E-1,5.688623428E0,8.283937454E0
5.314989062E0,-1.972822189E0,4.587290287E0,8.638279915E0
5.339985937E0,-2.020706177E0,5.075707436E0,8.657433510E0
