"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.145003125E0,-1.918750000E1,-1.518750000E1,-3.743750000E1
8.175004687E0,-2.056250000E1,-1.662500000E1,-3.668750000E1
8.204975000E0,-2.168750000E1,-1.756250000E1,-3.537500000E1
8.224996875E0,-2.181250000E1,-1.800000000E1,-3.518750000E1
8.255000000E0,-2.212500000E1,-1.950000000E1,-3.431250000E1
8.285001562E0,-2.237500000E1,-2.025000000E1,-3.343750000E1
8.315003125E0,-2.237500000E1,-2.112500000E1,-3.250000000E1
8.345006250E0,-2.318750000E1,-2.250000000E1,-3.150000000E1
8.374976562E0,-2.375000000E1,-2.337500000E1,-3.200000000E1
8.394998437E0,-2.381250000E1,-2.368750000E1,-3.225000000E1
8.425001562E0,-2.356250000E1,-2.350000000E1,-3.200000000E1
8.455003125E0,-2.325000000E1,-2.350000000E1,-3.231250000E1
8.485004687E0,-2.281250000E1,-2.300000000E1,-3.225000000E1
8.514975000E0,-2.181250000E1,-2.125000000E1,-3.331250000E1
8.534998437E0,-2.118750000E1,-2.075000000E1,-3.412500000E1
8.565000000E0,-2.112500000E1,-2.068750000E1,-3.406250000E1
8.595001562E0,-2.125000000E1,-2.043750000E1,-3.393750000E1
8.625003125E0,-2.050000000E1,-2.018750000E1,-3.456250000E1
8.655006250E0,-1.943750000E1,-1.906250000E1,-3.531250000E1
8.684976562E0,-1.956250000E1,-1.825000000E1,-3.631250000E1
8.704998437E0,-1.881250000E1,-1.725000000E1,-3.731250000E1
8.735001562E0,-1.750000000E1,-1.568750000E1,-3.900000000E1
8.765003125E0,-1.650000000E1,-1.425000000E1,-3.962500000E1
8.795004687E0,-1.500000000E1,-1.150000000E1,-4.043750000E1
8.824975000E0,-1.406250000E1,-9.875000000E0,-4.125000000E1
8.844998437E0,-1.387500000E1,-8.687500000E0,-4.225000000E1
8.875000000E0,-1.250000000E1,-7.062500000E0,-4.343750000E1
8.905001562E0,-1.068750000E1,-4.937500000E0,-4.312500000E1
8.935003125E0,-8.562500000E0,-2.375000000E0,-4.300000000E1
8.965006250E0,-7.375000000E0,-6.250000000E-2,-4.318750000E1
8.994976562E0,-7.250000000E0,1.500000000E0,-4.393750000E1
9.014998437E0,-6.937500000E0,3.625000000E0,-4.406250000E1
9.045001562E0,-5.937500000E0,5.750000000E0,-4.343750000E1
9.075003125E0,-6.062500000E0,7.687500000E0,-4.325000000E1
9.105004687E0,-4.312500000E0,9.750000000E0,-4.375000000E1
9.134976562E0,-3.625000000E0,1.137500000E1,-4.375000000E1
9.154998437E0,-4.312500000E0,1.181250000E1,-4.393750000E1
9.185000000E0,-4.875000000E0,1.225000000E1,-4.243750000E1
9.215001562E0,-5.562500000E0,1.318750000E1,-4.187500000E1
9.245004687E0,-5.812500000E0,1.268750000E1,-4.206250000E1
9.275006250E0,-7.000000000E0,1.268750000E1,-4.281250000E1
9.304976562E0,-6.750000000E0,1.137500000E1,-4.181250000E1
9.325012500E0,-7.062500000E0,1.100000000E1,-4.168750000E1
9.355001562E0,-8.562500000E0,1.031250000E1,-4.262500000E1
9.385003125E0,-1.075000000E1,8.000000000E0,-4.218750000E1
9.415004687E0,-1.125000000E1,6.562500000E0,-4.212500000E1
9.444976562E0,-1.143750000E1,4.750000000E0,-4.237500000E1
9.464998437E0,-1.187500000E1,3.500000000E0,-4.250000000E1
9.495000000E0,-1.287500000E1,1.187500000E0,-4.231250000E1
9.525003125E0,-1.443750000E1,-1.062500000E0,-4.256250000E1
9.555004687E0,-1.556250000E1,-3.750000000E0,-4.206250000E1
9.585006250E0,-1.637500000E1,-6.187500000E0,-4.156250000E1
9.614976562E0,-1.675000000E1,-8.562500000E0,-4.050000000E1
9.635000000E0,-1.718750000E1,-9.687500000E0,-4.018750000E1
9.665001562E0,-1.750000000E1,-1.131250000E1,-3.968750000E1
9.695003125E0,-1.781250000E1,-1.362500000E1,-3.931250000E1
9.725004687E0,-1.800000000E1,-1.531250000E1,-3.768750000E1
9.754976562E0,-1.812500000E1,-1.775000000E1,-3.662500000E1
9.774998437E0,-1.887500000E1,-1.900000000E1,-3.656250000E1
9.805000000E0,-1.962500000E1,-2.043750000E1,-3.562500000E1
9.825003125E0,-1.962500000E1,-2.087500000E1,-3.475000000E1
9.854993750E0,-1.943750000E1,-2.156250000E1,-3.337500000E1
9.884995312E0,-2.031250000E1,-2.262500000E1,-3.381250000E1
9.914996875E0,-2.018750000E1,-2.300000000E1,-3.368750000E1
9.944998437E0,-2.043750000E1,-2.256250000E1,-3.318750000E1
9.975001562E0,-2.062500000E1,-2.250000000E1,-3.312500000E1
1.000500312E1,-2.162500000E1,-2.206250000E1,-3.368750000E1
1.003500469E1,-2.162500000E1,-2.068750000E1,-3.431250000E1
1.006497656E1,-1.987500000E1,-2.012500000E1,-3.618750000E1
1.008499844E1,-1.956250000E1,-1.975000000E1,-3.662500000E1
1.011500000E1,-1.975000000E1,-1.862500000E1,-3.687500000E1
1.014500312E1,-1.981250000E1,-1.768750000E1,-3.750000000E1
1.017500469E1,-1.962500000E1,-1.662500000E1,-3.787500000E1
1.020497500E1,-1.931250000E1,-1.550000000E1,-3.812500000E1
1.022499688E1,-1.862500000E1,-1.525000000E1,-3.862500000E1
1.025500000E1,-1.731250000E1,-1.437500000E1,-3.950000000E1
1.028500156E1,-1.662500000E1,-1.256250000E1,-4.062500000E1
1.031500312E1,-1.456250000E1,-1.025000000E1,-4.050000000E1
1.034500625E1,-1.243750000E1,-8.312500000E0,-4.212500000E1
1.037497656E1,-1.068750000E1,-6.562500000E0,-4.350000000E1
1.039499844E1,-9.000000000E0,-4.187500000E0,-4.381250000E1
1.042500000E1,-7.937500000E0,-1.625000000E0,-4.381250000E1
1.045500313E1,-7.500000000E0,0.000000000E0,-4.393750000E1
1.048500469E1,-7.625000000E0,1.500000000E0,-4.381250000E1
1.051497500E1,-5.937500000E0,3.125000000E0,-4.468750000E1
1.053499844E1,-5.750000000E0,3.937500000E0,-4.550000000E1
1.056500000E1,-5.312500000E0,5.562500000E0,-4.581250000E1
