"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.495001562E0,-9.407999516E-1,1.071499944E0,1.523000002E-1
3.525003125E0,-8.927999735E-1,9.995999932E-1,1.314999908E-1
3.554996875E0,-8.230999708E-1,9.232999682E-1,1.692000031E-1
3.574996875E0,-8.161000013E-1,9.030999541E-1,1.305000037E-1
3.604998437E0,-7.534999847E-1,8.933999538E-1,9.239999950E-2
3.635000000E0,-6.902999878E-1,8.001999855E-1,8.659999818E-2
3.665003125E0,-6.712999940E-1,7.662000060E-1,1.092000008E-1
3.695004687E0,-6.056999564E-1,7.210999727E-1,7.710000128E-2
3.724975000E0,-5.505999923E-1,6.808999777E-1,8.129999787E-2
3.744996875E0,-5.460000038E-1,6.231999993E-1,7.620000094E-2
3.775000000E0,-5.450999737E-1,5.708000064E-1,5.729999766E-2
3.805001562E0,-4.634999931E-1,5.178999901E-1,1.409999933E-2
3.835003125E0,-4.878000021E-1,4.930000007E-1,4.609999806E-2
3.864975000E0,-4.093999863E-1,5.261999965E-1,5.460000038E-2
3.884996875E0,-4.384999871E-1,4.758999944E-1,4.160000011E-2
3.914998437E0,-3.930999935E-1,4.267999828E-1,8.509999514E-2
3.945000000E0,-3.953000009E-1,4.853999913E-1,5.289999768E-2
3.975003125E0,-3.339000046E-1,4.350999892E-1,1.829999872E-2
4.005004687E0,-3.095999956E-1,3.596999943E-1,2.599999867E-2
4.034976562E0,-2.647999823E-1,2.918999791E-1,5.189999938E-2
4.054998437E0,-2.344999909E-1,2.885999978E-1,4.050000012E-2
4.085000000E0,-2.242999971E-1,2.858999968E-1,9.699999355E-3
4.115001562E0,-2.234999985E-1,2.714999914E-1,4.619999975E-2
4.145004687E0,-2.422999889E-1,2.788999975E-1,5.599999800E-3
4.174975000E0,-2.395000011E-1,2.275999933E-1,3.269999847E-2
4.194996875E0,-2.384999990E-1,2.645999789E-1,2.169999853E-2
4.224998437E0,-2.003999949E-1,2.245000005E-1,3.039999865E-2
4.255000000E0,-1.469999999E-1,2.232999951E-1,1.850000024E-2
4.285003125E0,-1.498999894E-1,1.958999932E-1,1.779999956E-2
4.315004687E0,-1.358999908E-1,1.616999954E-1,6.599999964E-3
4.345018750E0,-1.107999980E-1,1.639999896E-1,2.549999952E-2
4.374978125E0,-1.477999985E-1,1.596999913E-1,2.009999938E-2
4.395000000E0,-9.449999779E-2,1.621000022E-1,9.599999525E-3
4.425001562E0,-1.273999959E-1,1.639999896E-1,1.869999990E-2
4.455004687E0,-1.164999977E-1,1.218999997E-1,-1.899999916E-3
4.484975000E0,-1.309999973E-1,1.269000024E-1,-1.209999993E-2
4.504996875E0,-8.649999648E-2,9.229999781E-2,-1.249999925E-2
4.534998437E0,-1.152999997E-1,8.339999616E-2,-2.300000004E-2
4.565001562E0,-1.197999939E-1,6.939999759E-2,-1.349999942E-2
4.595003125E0,-8.240000159E-2,4.360000044E-2,1.539999992E-2
4.624973437E0,-3.940000013E-2,7.819999754E-2,1.499999966E-2
4.644995312E0,-5.680000037E-2,1.031999961E-1,4.799999762E-3
4.674998437E0,-7.009999454E-2,7.469999790E-2,-2.520000003E-2
4.705000000E0,-4.779999703E-2,1.002999991E-1,2.349999920E-2
4.735001562E0,-4.449999705E-2,1.182999983E-1,2.249999903E-2
4.765004687E0,-6.169999763E-2,7.599999756E-2,-6.999999750E-3
4.794975000E0,-4.739999771E-2,7.029999793E-2,-7.400000002E-3
4.814996875E0,-4.529999942E-2,3.909999877E-2,-7.499999832E-3
4.844998437E0,-4.409999773E-2,1.829999872E-2,-7.599999662E-3
4.875001562E0,-4.969999939E-2,2.599999867E-2,2.099999972E-2
4.905003125E0,-5.819999799E-2,4.329999909E-2,-2.809999883E-2
4.934973437E0,1.239999942E-2,5.810000002E-2,-1.869999990E-2
4.954995312E0,2.499999944E-3,3.669999912E-2,1.049999986E-2
4.984998437E0,-6.499999668E-3,6.279999763E-2,-9.300000034E-3
5.015000000E0,-1.449999958E-2,5.659999698E-2,0.000000000E0
5.045001562E0,4.399999976E-3,2.699999884E-2,0.000000000E0
5.075004687E0,-2.229999937E-2,1.620000042E-2,9.699999355E-3
5.104975000E0,-2.989999950E-2,5.339999869E-2,-9.999999747E-5
5.124996875E0,-6.729999930E-2,6.089999899E-2,-2.999999851E-4
5.154998437E0,-4.439999908E-2,3.739999980E-2,-5.999999703E-4
5.185001562E0,-5.399999674E-3,-2.399999881E-3,-2.999999933E-2
5.215003125E0,4.399999976E-3,7.199999876E-3,9.099999443E-3
5.244973437E0,-4.429999739E-2,6.899999920E-3,-5.999999703E-4
5.264996875E0,-2.410000004E-2,6.999999750E-3,-2.019999921E-2
5.294998437E0,-2.199999988E-2,1.549999975E-2,-1.049999986E-2
5.325000000E0,-1.079999935E-2,4.419999942E-2,-1.049999986E-2
5.355001562E0,-3.709999844E-2,5.059999973E-2,8.799999952E-3
5.385004687E0,-2.609999850E-2,3.749999776E-2,4.250000045E-2
5.414975000E0,-5.159999803E-2,2.479999885E-2,2.279999852E-2
5.434996875E0,-3.999999911E-2,1.429999992E-2,1.289999951E-2
5.465000000E0,-1.019999944E-2,2.300000004E-2,1.289999951E-2
5.495001562E0,8.499999531E-3,1.040000003E-2,2.799999900E-3
5.525003125E0,-1.139999926E-2,-3.729999810E-2,4.209999740E-2
5.554975000E0,5.319999903E-2,1.150000002E-2,4.199999943E-2
5.574995312E0,3.199999779E-2,-7.799999788E-3,3.219999745E-2
5.604998437E0,1.090000011E-2,-1.759999990E-2,1.260000002E-2
5.635000000E0,-9.099999443E-3,-3.390000015E-2,-6.699999794E-3
5.665001562E0,-9.099999443E-3,4.900000058E-3,3.000000026E-3
5.695004687E0,-8.799999952E-3,4.600000102E-3,4.219999909E-2
5.724975000E0,-1.730000041E-2,3.370000049E-2,3.240000084E-2
5.744996875E0,2.499999944E-3,1.169999968E-2,-1.669999957E-2
5.774998437E0,3.889999911E-2,1.300000004E-3,2.699999837E-3
5.805001562E0,1.759999990E-2,1.209999993E-2,4.199999943E-2
5.835003125E0,-5.680000037E-2,3.859999776E-2,2.219999954E-2
5.864973437E0,-1.024999991E-1,2.659999952E-2,-2.999999851E-4
5.884995312E0,-7.970000058E-2,2.529999986E-2,-1.999999955E-2
5.914998437E0,-2.599999867E-2,-2.219999954E-2,3.900000080E-2
5.945000000E0,1.289999951E-2,-3.070000000E-2,4.889999703E-2
5.975001562E0,9.319999814E-2,9.499999695E-3,-9.899999946E-3
6.005004687E0,8.999999613E-2,2.850000001E-2,-3.949999809E-2
6.034976562E0,-1.599999960E-3,-5.680000037E-2,4.889999703E-2
6.054996875E0,-5.779999867E-2,-3.579999879E-2,6.859999895E-2
6.085000000E0,-9.279999882E-2,1.319999993E-2,9.899999946E-3
6.115001562E0,-2.939999849E-2,-1.469999924E-2,-3.889999911E-2
6.145003125E0,-2.909999900E-2,-3.219999745E-2,8.869999647E-2
6.174973437E0,5.579999834E-2,-3.049999848E-2,1.475999951E-1
6.194996875E0,5.329999700E-2,-2.960000001E-2,1.083999947E-1
6.224998437E0,-2.423999906E-1,4.652999938E-1,2.459999919E-2
6.255000000E0,-3.642999828E-1,5.983999968E-1,-1.709999889E-1
6.285003125E0,-3.540000021E-1,9.255999923E-1,1.005999967E-1
6.315004687E0,-5.774999857E-1,1.070199966E0,2.154999971E-1
6.344975000E0,-8.693000078E-1,1.441200018E0,2.177999914E-1
6.364996875E0,-9.817999601E-1,1.500199914E0,2.265999913E-1
6.395000000E0,-1.025699973E0,1.479900002E0,2.620999813E-1
6.425001562E0,-1.034799933E0,1.675999999E0,3.613999784E-1
6.455003125E0,-1.013100028E0,1.650399923E0,3.107999861E-1
6.484973437E0,-1.049099922E0,1.699299932E0,2.879999876E-1
6.504996875E0,-1.096199989E0,1.740599990E0,4.158999920E-1
6.534998437E0,-1.001500010E0,1.675199986E0,2.215999961E-1
6.565000000E0,-1.120199919E0,1.748199940E0,4.054999948E-1
6.595003125E0,-1.062600017E0,1.636999965E0,4.343999922E-1
6.625004687E0,-1.034699917E0,1.863999963E0,3.400999904E-1
6.654975000E0,-1.006199956E0,1.859699965E0,4.048999846E-1
6.674996875E0,-1.051100016E0,1.837199926E0,3.814999759E-1
6.705000000E0,-1.098699927E0,1.935400009E0,3.145000041E-1
6.735001562E0,-1.194499969E0,1.954499960E0,5.318999887E-1
6.765003125E0,-1.295199990E0,2.102900028E0,3.017999828E-1
6.794975000E0,-1.118700027E0,1.999799967E0,3.904999793E-1
6.814996875E0,-1.189499974E0,2.009099960E0,4.324999750E-1
6.844998437E0,-1.376099944E0,2.029099941E0,4.050000012E-1
6.864998437E0,-1.375499964E0,2.044299841E0,2.829000056E-1
6.894992187E0,-9.880999923E-1,1.973499894E0,2.752999961E-1
6.924993750E0,-1.345899940E0,2.004600048E0,4.554999769E-1
6.954995312E0,-1.348699927E0,2.070699930E0,3.454999924E-1
6.984998437E0,-1.375899911E0,2.138900042E0,4.371999800E-1
7.015000000E0,-1.464699984E0,2.015499830E0,4.828999937E-1
7.045001562E0,-1.457099915E0,2.068599939E0,3.901999891E-1
7.075003125E0,-1.257099986E0,1.942399979E0,2.405999899E-1
7.104975000E0,-1.153499961E0,1.886899948E0,3.637999892E-1
7.124996875E0,-1.302399993E0,1.884799957E0,4.066999853E-1
7.154998437E0,-1.380299926E0,1.956499934E0,4.670999944E-1
7.185001562E0,-1.429199934E0,2.015100002E0,4.679999948E-1
7.215003125E0,-1.515699983E0,1.997199893E0,6.416000128E-1
7.245004687E0,-1.487100005E0,2.109200001E0,6.276999712E-1
7.274975000E0,-1.404299974E0,2.015199900E0,3.215999901E-1
7.294998437E0,-1.463299990E0,2.070099831E0,4.000999928E-1
7.325000000E0,-1.453499913E0,2.128399849E0,4.621999860E-1
7.355001562E0,-1.598199964E0,2.067899942E0,5.561000109E-1
7.385003125E0,-1.596300006E0,2.090399981E0,4.423999786E-1
7.414975000E0,-1.435699940E0,1.971699953E0,4.393999875E-1
7.434996875E0,-1.449800014E0,2.011899948E0,4.107999802E-1
7.464998437E0,-1.480599999E0,2.090899944E0,4.468999803E-1
7.495001562E0,-1.337199926E0,1.992100000E0,4.632000029E-1
7.525003125E0,-1.590699911E0,2.100399971E0,4.851000011E-1
7.554973437E0,-1.694499969E0,2.045599937E0,4.477999806E-1
7.574995312E0,-1.710899949E0,2.036000013E0,4.266999960E-1
7.604996875E0,-1.721699953E0,2.048199892E0,4.521999955E-1
7.635000000E0,-1.506699920E0,1.988199949E0,4.781000018E-1
7.665001562E0,-1.502699971E0,2.079999924E0,4.535999894E-1
7.695003125E0,-1.328400016E0,1.915099978E0,4.630999863E-1
7.724975000E0,-1.300400019E0,1.936100006E0,4.684000015E-1
7.744996875E0,-1.263700008E0,1.961399913E0,4.519999921E-1
7.774998437E0,-1.249300003E0,1.935199976E0,4.059999883E-1
7.805001562E0,-1.429499984E0,2.031599998E0,5.040999651E-1
7.835003125E0,-1.423699975E0,1.946099997E0,4.620999992E-1
7.864973437E0,-1.378999949E0,1.981499910E0,4.685999751E-1
7.884996875E0,-1.367399931E0,1.967999935E0,4.811999798E-1
7.914998437E0,-1.323099971E0,1.888499975E0,4.421999753E-1
7.945000000E0,-1.391999960E0,1.948599935E0,5.173999667E-1
