"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.540015625E0,-5.363011956E-1,-6.320692301E-1,9.816226959E0
7.564984375E0,-6.512228847E-1,-6.607996821E-1,9.797073364E0
7.589981250E0,-6.512228847E-1,-6.895300746E-1,9.768342972E0
7.610004687E0,-5.937620401E-1,-7.182605267E-1,9.768342972E0
7.635000000E0,-4.692635238E-1,-7.278373241E-1,9.835380554E0
7.660034375E0,-3.734954596E-1,-7.374141216E-1,9.797073364E0
7.684993750E0,-3.256114423E-1,-7.661445141E-1,9.816226959E0
7.709989062E0,-2.394201756E-1,-8.523358107E-1,9.797073364E0
7.734985937E0,-1.628057212E-1,-8.427590132E-1,9.787496567E0
7.759982812E0,-1.436520964E-1,-8.427590132E-1,9.758766174E0
7.780003125E0,-1.819593310E-1,-8.044517636E-1,9.768342972E0
7.805001562E0,-2.585737705E-1,-7.852981687E-1,9.816226959E0
7.829998437E0,-3.064578176E-1,-8.140285611E-1,9.787496567E0
7.854993750E0,-2.489969730E-1,-8.331822157E-1,9.777919769E0
7.879990625E0,-2.011129409E-1,-8.714894056E-1,9.758766174E0
7.904985937E0,-1.819593310E-1,-8.714894056E-1,9.758766174E0
7.929984375E0,-2.202665508E-1,-9.481038451E-1,9.787496567E0
7.954979687E0,-1.915361285E-1,-9.193734527E-1,9.777919769E0
7.975001562E0,-2.394201756E-1,-8.427590132E-1,9.797073364E0
8.000000000E0,-2.873041928E-1,-7.852981687E-1,9.797073364E0
8.024995312E0,-3.064578176E-1,-7.948749661E-1,9.787496567E0
8.049992187E0,-2.585737705E-1,-7.565677166E-1,9.787496567E0
8.074987500E0,-2.394201756E-1,-6.895300746E-1,9.787496567E0
8.099984375E0,-2.298433632E-1,-7.086837292E-1,9.749189377E0
8.124981250E0,-1.915361285E-1,-7.469909191E-1,9.787496567E0
8.145003125E0,-2.202665508E-1,-7.757213712E-1,9.806650162E0
8.170001562E0,-2.489969730E-1,-7.852981687E-1,9.758766174E0
8.194995312E0,-2.489969730E-1,-7.852981687E-1,9.749189377E0
8.219993750E0,-2.585737705E-1,-8.523358107E-1,9.777919769E0
8.239996875E0,-2.585737705E-1,-8.714894056E-1,9.797073364E0
8.260015625E0,-2.968810201E-1,-8.427590132E-1,9.787496567E0
8.285001562E0,-2.873041928E-1,-8.331822157E-1,9.768342972E0
8.310000000E0,-2.968810201E-1,-8.619126081E-1,9.758766174E0
8.334995312E0,-2.585737705E-1,-8.523358107E-1,9.758766174E0
8.359992187E0,-2.394201756E-1,-8.140285611E-1,9.768342972E0
8.384987500E0,-2.394201756E-1,-8.331822157E-1,9.749189377E0
8.409984375E0,-2.873041928E-1,-8.523358107E-1,9.749189377E0
8.434981250E0,-2.968810201E-1,-8.140285611E-1,9.806650162E0
8.455003125E0,-2.968810201E-1,-8.140285611E-1,9.787496567E0
8.480000000E0,-2.777273953E-1,-7.757213712E-1,9.787496567E0
8.504995312E0,-2.489969730E-1,-7.757213712E-1,9.768342972E0
8.529993750E0,-2.106897533E-1,-7.565677166E-1,9.787496567E0
8.554989062E0,-1.723825186E-1,-7.661445141E-1,9.777919769E0
8.579985937E0,-1.532289088E-1,-7.661445141E-1,9.777919769E0
8.604981250E0,-1.149216816E-1,-8.044517636E-1,9.787496567E0
8.625004687E0,-1.532289088E-1,-7.948749661E-1,9.768342972E0
8.650001562E0,-1.628057212E-1,-8.140285611E-1,9.777919769E0
8.674996875E0,-2.394201756E-1,-8.140285611E-1,9.768342972E0
8.699993750E0,-2.585737705E-1,-8.236053586E-1,9.777919769E0
8.724990625E0,-3.160346150E-1,-8.523358107E-1,9.797073364E0
8.749987500E0,-3.256114423E-1,-8.044517636E-1,9.777919769E0
8.774982812E0,-2.777273953E-1,-8.236053586E-1,9.768342972E0
8.799979687E0,-2.681505978E-1,-7.948749661E-1,9.758766174E0
8.820003125E0,-2.585737705E-1,-8.236053586E-1,9.758766174E0
8.844998437E0,-2.777273953E-1,-8.523358107E-1,9.768342972E0
8.869995312E0,-2.777273953E-1,-7.948749661E-1,9.806650162E0
8.894992187E0,-2.489969730E-1,-7.661445141E-1,9.768342972E0
8.919987500E0,-2.873041928E-1,-7.948749661E-1,9.777919769E0
8.944984375E0,-2.585737705E-1,-7.948749661E-1,9.758766174E0
8.969981250E0,-2.585737705E-1,-7.948749661E-1,9.777919769E0
8.990003125E0,-2.394201756E-1,-7.948749661E-1,9.787496567E0
9.015000000E0,-2.394201756E-1,-7.757213712E-1,9.787496567E0
9.039996875E0,-2.202665508E-1,-8.044517636E-1,9.768342972E0
9.064992187E0,-2.202665508E-1,-7.852981687E-1,9.797073364E0
9.089989062E0,-2.298433632E-1,-7.948749661E-1,9.768342972E0
9.114984375E0,-2.394201756E-1,-8.331822157E-1,9.777919769E0
9.139982812E0,-2.394201756E-1,-8.140285611E-1,9.777919769E0
9.160004687E0,-2.106897533E-1,-8.236053586E-1,9.777919769E0
9.185000000E0,-2.106897533E-1,-8.044517636E-1,9.787496567E0
9.209996875E0,-2.106897533E-1,-8.427590132E-1,9.777919769E0
9.234993750E0,-2.298433632E-1,-8.140285611E-1,9.768342972E0
9.259990625E0,-2.394201756E-1,-8.236053586E-1,9.787496567E0
