"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.395000000E0,-1.381250000E1,1.650000000E1,-4.350000000E1
4.425001562E0,-1.375000000E1,1.631250000E1,-4.412500000E1
4.455004687E0,-1.325000000E1,1.587500000E1,-4.368750000E1
4.484975000E0,-1.343750000E1,1.650000000E1,-4.368750000E1
4.504996875E0,-1.368750000E1,1.650000000E1,-4.412500000E1
4.534998437E0,-1.387500000E1,1.600000000E1,-4.437500000E1
4.565001562E0,-1.393750000E1,1.556250000E1,-4.400000000E1
4.595003125E0,-1.381250000E1,1.587500000E1,-4.368750000E1
4.624973437E0,-1.343750000E1,1.643750000E1,-4.300000000E1
4.644995312E0,-1.331250000E1,1.650000000E1,-4.381250000E1
4.674998437E0,-1.331250000E1,1.631250000E1,-4.450000000E1
4.705000000E0,-1.362500000E1,1.662500000E1,-4.406250000E1
4.735001562E0,-1.306250000E1,1.656250000E1,-4.387500000E1
4.765004687E0,-1.318750000E1,1.618750000E1,-4.412500000E1
4.794975000E0,-1.350000000E1,1.593750000E1,-4.468750000E1
4.814996875E0,-1.325000000E1,1.612500000E1,-4.462500000E1
4.844998437E0,-1.275000000E1,1.625000000E1,-4.437500000E1
4.875001562E0,-1.312500000E1,1.593750000E1,-4.462500000E1
4.905003125E0,-1.356250000E1,1.612500000E1,-4.425000000E1
4.934973437E0,-1.393750000E1,1.618750000E1,-4.468750000E1
4.954995312E0,-1.437500000E1,1.612500000E1,-4.500000000E1
4.984998437E0,-1.462500000E1,1.618750000E1,-4.468750000E1
5.015000000E0,-1.418750000E1,1.550000000E1,-4.400000000E1
5.045001562E0,-1.431250000E1,1.575000000E1,-4.375000000E1
5.075004687E0,-1.318750000E1,1.637500000E1,-4.393750000E1
5.104975000E0,-1.325000000E1,1.600000000E1,-4.512500000E1
5.124996875E0,-1.331250000E1,1.600000000E1,-4.475000000E1
5.154998437E0,-1.312500000E1,1.625000000E1,-4.412500000E1
5.185001562E0,-1.331250000E1,1.612500000E1,-4.387500000E1
5.215003125E0,-1.393750000E1,1.612500000E1,-4.400000000E1
5.244973437E0,-1.387500000E1,1.568750000E1,-4.468750000E1
5.264996875E0,-1.343750000E1,1.606250000E1,-4.437500000E1
5.294998437E0,-1.331250000E1,1.618750000E1,-4.462500000E1
5.325000000E0,-1.337500000E1,1.587500000E1,-4.425000000E1
5.355001562E0,-1.312500000E1,1.606250000E1,-4.381250000E1
5.385004687E0,-1.318750000E1,1.612500000E1,-4.368750000E1
5.414975000E0,-1.362500000E1,1.550000000E1,-4.343750000E1
5.434996875E0,-1.418750000E1,1.550000000E1,-4.418750000E1
5.465000000E0,-1.412500000E1,1.556250000E1,-4.437500000E1
5.495001562E0,-1.418750000E1,1.600000000E1,-4.462500000E1
5.525003125E0,-1.450000000E1,1.687500000E1,-4.456250000E1
5.554975000E0,-1.387500000E1,1.743750000E1,-4.375000000E1
5.574995312E0,-1.412500000E1,1.731250000E1,-4.387500000E1
5.604998437E0,-1.431250000E1,1.693750000E1,-4.406250000E1
5.635000000E0,-1.475000000E1,1.606250000E1,-4.350000000E1
5.665001562E0,-1.462500000E1,1.600000000E1,-4.331250000E1
5.695004687E0,-1.418750000E1,1.637500000E1,-4.393750000E1
5.724975000E0,-1.393750000E1,1.612500000E1,-4.437500000E1
5.744996875E0,-1.350000000E1,1.618750000E1,-4.400000000E1
5.774998437E0,-1.325000000E1,1.593750000E1,-4.406250000E1
5.805001562E0,-1.425000000E1,1.500000000E1,-4.475000000E1
5.835003125E0,-1.418750000E1,1.543750000E1,-4.456250000E1
5.864973437E0,-1.406250000E1,1.550000000E1,-4.431250000E1
5.884995312E0,-1.412500000E1,1.562500000E1,-4.456250000E1
5.914998437E0,-1.400000000E1,1.606250000E1,-4.481250000E1
5.945000000E0,-1.381250000E1,1.650000000E1,-4.456250000E1
5.975001562E0,-1.375000000E1,1.612500000E1,-4.368750000E1
6.005004687E0,-1.331250000E1,1.618750000E1,-4.393750000E1
6.034976562E0,-1.356250000E1,1.631250000E1,-4.368750000E1
6.054996875E0,-1.293750000E1,1.637500000E1,-4.381250000E1
6.085000000E0,-1.268750000E1,1.612500000E1,-4.400000000E1
6.115001562E0,-1.325000000E1,1.618750000E1,-4.431250000E1
6.145003125E0,-1.300000000E1,1.631250000E1,-4.418750000E1
6.174973437E0,-1.381250000E1,1.581250000E1,-4.456250000E1
6.194996875E0,-1.437500000E1,1.568750000E1,-4.431250000E1
6.224998437E0,-1.337500000E1,1.562500000E1,-4.400000000E1
6.255000000E0,-1.306250000E1,1.600000000E1,-4.412500000E1
6.285003125E0,-1.381250000E1,1.625000000E1,-4.381250000E1
6.315004687E0,-1.337500000E1,1.618750000E1,-4.406250000E1
6.344975000E0,-1.281250000E1,1.593750000E1,-4.381250000E1
6.364996875E0,-1.300000000E1,1.587500000E1,-4.387500000E1
6.395000000E0,-1.337500000E1,1.637500000E1,-4.387500000E1
6.425001562E0,-1.300000000E1,1.625000000E1,-4.381250000E1
6.455003125E0,-1.225000000E1,1.568750000E1,-4.468750000E1
6.484973437E0,-1.293750000E1,1.562500000E1,-4.462500000E1
6.504996875E0,-1.318750000E1,1.550000000E1,-4.425000000E1
6.534998437E0,-1.318750000E1,1.562500000E1,-4.412500000E1
6.565000000E0,-1.331250000E1,1.562500000E1,-4.387500000E1
6.595003125E0,-1.306250000E1,1.631250000E1,-4.356250000E1
6.625004687E0,-1.312500000E1,1.637500000E1,-4.393750000E1
6.654975000E0,-1.268750000E1,1.593750000E1,-4.400000000E1
6.674996875E0,-1.318750000E1,1.575000000E1,-4.425000000E1
6.705000000E0,-1.306250000E1,1.537500000E1,-4.431250000E1
6.735001562E0,-1.275000000E1,1.531250000E1,-4.512500000E1
6.765003125E0,-1.293750000E1,1.550000000E1,-4.500000000E1
6.794975000E0,-1.293750000E1,1.550000000E1,-4.456250000E1
6.814996875E0,-1.318750000E1,1.612500000E1,-4.443750000E1
6.844998437E0,-1.331250000E1,1.637500000E1,-4.468750000E1
6.864998437E0,-1.281250000E1,1.612500000E1,-4.468750000E1
6.894992187E0,-1.206250000E1,1.587500000E1,-4.475000000E1
6.924993750E0,-1.243750000E1,1.543750000E1,-4.443750000E1
6.954995312E0,-1.293750000E1,1.550000000E1,-4.437500000E1
6.984998437E0,-1.318750000E1,1.493750000E1,-4.487500000E1
7.015000000E0,-1.300000000E1,1.550000000E1,-4.462500000E1
7.045001562E0,-1.212500000E1,1.543750000E1,-4.450000000E1
7.075003125E0,-1.231250000E1,1.531250000E1,-4.506250000E1
7.104975000E0,-1.306250000E1,1.531250000E1,-4.500000000E1
7.124996875E0,-1.300000000E1,1.568750000E1,-4.487500000E1
7.154998437E0,-1.243750000E1,1.587500000E1,-4.475000000E1
7.185001562E0,-1.200000000E1,1.537500000E1,-4.462500000E1
7.215003125E0,-1.287500000E1,1.543750000E1,-4.500000000E1
7.245004687E0,-1.318750000E1,1.537500000E1,-4.443750000E1
7.274975000E0,-1.312500000E1,1.450000000E1,-4.387500000E1
7.294998437E0,-1.256250000E1,1.512500000E1,-4.443750000E1
7.325000000E0,-1.275000000E1,1.587500000E1,-4.450000000E1
7.355001562E0,-1.281250000E1,1.562500000E1,-4.393750000E1
7.385003125E0,-1.262500000E1,1.550000000E1,-4.450000000E1
7.414975000E0,-1.318750000E1,1.562500000E1,-4.431250000E1
7.434996875E0,-1.343750000E1,1.568750000E1,-4.418750000E1
7.464998437E0,-1.318750000E1,1.525000000E1,-4.387500000E1
7.495001562E0,-1.331250000E1,1.506250000E1,-4.437500000E1
7.525003125E0,-1.300000000E1,1.525000000E1,-4.431250000E1
7.554973437E0,-1.343750000E1,1.506250000E1,-4.425000000E1
7.574995312E0,-1.343750000E1,1.575000000E1,-4.443750000E1
7.604996875E0,-1.293750000E1,1.550000000E1,-4.462500000E1
7.635000000E0,-1.287500000E1,1.543750000E1,-4.456250000E1
7.665001562E0,-1.306250000E1,1.531250000E1,-4.493750000E1
7.695003125E0,-1.306250000E1,1.531250000E1,-4.500000000E1
7.724975000E0,-1.287500000E1,1.518750000E1,-4.406250000E1
7.744996875E0,-1.368750000E1,1.512500000E1,-4.362500000E1
7.774998437E0,-1.418750000E1,1.575000000E1,-4.337500000E1
7.805001562E0,-1.312500000E1,1.556250000E1,-4.368750000E1
7.835003125E0,-1.406250000E1,1.525000000E1,-4.450000000E1
7.864973437E0,-1.431250000E1,1.543750000E1,-4.462500000E1
7.884996875E0,-1.400000000E1,1.575000000E1,-4.412500000E1
7.914998437E0,-1.368750000E1,1.568750000E1,-4.400000000E1
7.945000000E0,-1.343750000E1,1.631250000E1,-4.437500000E1
7.975001562E0,-1.381250000E1,1.637500000E1,-4.468750000E1
8.005003125E0,-1.325000000E1,1.612500000E1,-4.443750000E1
8.034975000E0,-1.356250000E1,1.625000000E1,-4.468750000E1
8.054996875E0,-1.400000000E1,1.606250000E1,-4.400000000E1
8.084998437E0,-1.362500000E1,1.618750000E1,-4.418750000E1
8.115001562E0,-1.381250000E1,1.593750000E1,-4.406250000E1
8.145003125E0,-1.437500000E1,1.581250000E1,-4.381250000E1
8.174973437E0,-1.375000000E1,1.575000000E1,-4.506250000E1
8.194995312E0,-1.325000000E1,1.525000000E1,-4.456250000E1
8.224998437E0,-1.375000000E1,1.525000000E1,-4.387500000E1
8.255000000E0,-1.381250000E1,1.543750000E1,-4.406250000E1
